stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,5.75,0,0,0,0,0,1.64,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0.98,0,6.87,5.89,61.84,55.95,0,1.96,2.94,24.54,1.96,0,0,2.94,3.93,0.98,0.98,2.94,0,36.32,0,0,2.94,149.21,0,0,2.94,0,0,9.82,0,0,0,8.83,0,0.98,11.78,3.93,0.98
 84-94,0,0,5.31,11.68,134.88,37.17,1.06,1.06,2.12,10.62,0,0,0,4.25,1.06,0,0,2.12,0,11.68,1.06,1.06,3.19,66.91,1.06,0,4.25,0,0,12.74,0,1.06,0,1.06,1.06,1.06,1.06,3.19,0
 96-106,10.93,0,151.91,110.38,304.9,369.38,12.02,21.86,15.3,158.46,50.27,0,16.39,54.64,24.04,12.02,9.84,54.64,3.28,327.85,15.3,26.23,44.81,714.72,12.02,28.41,27.32,0,7.65,215.29,2.19,4.37,0,22.95,8.74,7.65,71.04,20.76,19.67
108-118,8.43,0,301.79,111.83,648,793.54,13.79,64.34,28.34,255.07,62.81,0,6.89,59.75,29.87,49.79,10.72,78.13,29.11,630.39,19.92,19.15,109.53,1745.63,26.81,32.94,35.23,0,15.32,421.28,10.72,8.43,0,50.55,21.45,15.32,75.83,22.98,67.4
120,3.92,1.96,178.34,101.91,295.93,458.59,27.44,35.28,31.36,186.18,50.95,0,11.76,68.59,13.72,15.68,9.8,54.87,7.84,486.03,7.84,25.48,72.51,1248.38,27.44,17.64,27.44,0,11.76,156.78,11.76,5.88,0,50.95,11.76,15.68,70.55,13.72,21.56
