stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,184.49,4809.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0
  5-6,294.22,3732.95,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,6.13,55.17,0,0,0,0,0,0,0,0
  7-9,36.8,52.57,84.12,0,0,228.7,0,0,0,0,0,68.35,0,0,0,0,0,0,0,0,0,1750.72,47.32,0,0,633.52,0,13.14,0,0,0,0,0,0,0
 10-12,0,37.76,37.76,0,3.15,154.2,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,1095.15,15.73,0,0,434.28,0,9.44,3.15,53.5,0,0,0,0,0
 14-21,0,1,5,20,3,11,0,0,0,2,0,0,0,0,0,0,0,0,10,0,10,218,3,1,3,6,3,1,24,1,20,58,0,0,0
 24-34,0,0,0,3.28,1.64,43.51,0,0,0,3.28,0.82,0,0,0,0,0,0,0.82,36.12,0,6.57,296.33,0,2.46,3.28,0,3.28,0,0,1.64,1.64,33.66,0,3.28,0
 36-46,0,0,0,4.03,0,87.82,0,0,0,6.45,0,0,0,0,0,0,0,0,24.98,0,6.45,169.19,0,0,0.81,0,2.42,0,0,0,0,20.14,0,0.81,0
 48-58,0,0,0,2.87,0,86.64,0.57,0,0,9.75,0.57,0,1.15,0,0,0,0,0.57,28.69,1.15,5.16,98.12,0,0,0,0,1.15,0,0,0,0,8.61,0.57,1.15,0
 60-70,0,0,0,3.93,0,57.91,0,0,0.98,13.74,1.96,0,0,0,0.98,0.98,0,0,11.78,0,3.93,63.8,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,1.96,0,43.19,0,0,0.98,13.74,1.96,0,0,0,0.98,0,0,0,22.58,1.96,0.98,59.88,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,3.19,1.06,23.36,0,0,1.06,8.5,1.06,0,0,0,3.19,1.06,0,1.06,13.81,2.12,9.56,33.99,0,0,3.19,0,3.19,0,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,3.28,2.19,18.58,0,0,1.09,1.09,1.09,0,1.09,1.09,0,0,1.09,0,15.3,1.09,3.28,30.6,0,0,1.09,0,2.19,0,0,1.09,0,0,0,1.09,0
108-118,0,0,0,6.89,0.77,14.55,0,0.77,3.06,7.66,2.3,0,0,2.3,1.53,0.77,0,0.77,6.13,0.77,6.13,42.13,0,0,0.77,0,4.6,0,0,0,0,0,0,1.53,0.77
120,0,0,0,13.72,1.96,19.6,0,0,0,7.84,0,0,0,3.92,0,0,0,1.96,15.68,0,5.88,47.03,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0
