stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,11,1,0,0,0,0,20,1,2,0,1,0,148,0,0
 24-34,0,0,0,0,0,0,25.45,0,0,1.64,0.82,0,10.67,2.46,0,0.82,0,4.1,122.31,0,0
 36-46,0,0,0,0,0.81,0.81,11.28,0,0,2.42,0,0,7.25,0,0,0,0,0,61.23,0,0
 48-58,0,0,0,0.57,0,0,7.46,0,0,0,0.57,0.57,3.44,0,0,0,0,0,67.14,0,1.15
 60-70,0,0.98,0,1.96,0,0,23.56,0,0,0,0.98,0,5.89,0,0,0,0,0,41.22,0,0
 72-82,0,0,0,0,0,0.98,46.14,0,0,0,0,0,11.78,0,0,0,0,0,24.54,0,0
 84-94,0,0,0,3.19,0,0,25.49,0,1.06,0,1.06,0,4.25,0,0,0,0,0,35.05,0,0
 96-106,0,0,0,1.09,0,0,22.95,0,0,0,0,0,8.74,0,0,0,0,0,19.67,0,0
108-118,0,0,0.77,0,0,0,24.51,0,0,0,0.77,0,7.66,0,0,0,0,0,11.49,0,0
120,0,0,0,0,1.96,0,19.6,0,0,0,0,0,19.6,0,0,0,0,0,7.84,1.96,0
