stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,6.29,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,4,25,1,0,0,0,0,0,0,1,9,0,1
 24-34,0,0,0,0,1.64,0,0,4.1,0,0,0,0,0,0,0,13.13,0,0,4.1,0,0.82,20.52,6.57,0,0,0,0.82,0,0,0,17.24,0,1.64
 36-46,0,0,0,0,0.81,0,0,8.86,0,0,0,0,0,0,0,4.03,0,0,1.61,0.81,0.81,19.34,8.06,0,0,0,0,0,0,0,8.06,0,0.81
 48-58,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0.57,0,0,1.15,0,1.72,3.44,4.02,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,0,11.78,0,0,0,0.98,0,0,0,4.91,0,0,3.93,0,1.96,5.89,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,0,17.67,0,0,0,0.98,0,0,0,9.82,0,0,4.91,0,0.98,7.85,0,0.98,0,0,0,0,1.96,0,0,4.91,0
 84-94,0,0,0,0,3.19,0,0,30.8,0,0,0,0,0,1.06,0,15.93,0,0,3.19,0,0,4.25,1.06,0,0,0,0,0,2.12,0,1.06,36.11,0
 96-106,0,0,0,0,4.37,1.09,0,61.2,1.09,0,0,4.37,1.09,0,0,24.04,0,0,1.09,0,0,7.65,0,0,0,1.09,1.09,0,1.09,0,1.09,109.28,0
108-118,0,0,0,0,2.3,0.77,0.77,65.11,0,0.77,0,0.77,0,0,0.77,14.55,0.77,0,2.3,0,0.77,15.32,0.77,0,0,0,0,0,3.83,0,0,136.34,0
120,0,0,0,0,5.88,0,0,23.52,0,0,1.96,0,0,0,0,7.84,0,1.96,1.96,0,0,9.8,0,0,0,0,0,0,1.96,0,0,33.32,0
