stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,1199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,723.3,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,94.63,13.14,0,78.86,0,0,63.09,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,373.28,110.41,0,0,226.07,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,75.53,0,6.29,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.17,25.18,0,0,157.35,0,0,0,0,103.85,9.44,0,0,0,0,0,0
 14-21,0,0,1,62,249,21,5,0,2,0,0,19,0,2,0,2,0,0,1,1,36,0,0,19,26,7,0,1,6,0,1,1,63,24,45,84,0,0,10,0,0
 24-34,0,0,0.82,22.16,140.37,4.93,19.7,0,24.63,3.28,7.39,1.64,0,8.21,0.82,0,0,5.75,1.64,0.82,55,0,0,37.76,50.89,2.46,0.82,7.39,0,0,0,0,0,11.49,13.95,65.67,0,0,60.74,0,4.1
 36-46,0,0,0,1.61,56.4,0.81,13.7,1.61,20.95,2.42,6.45,0.81,0,6.45,0,0.81,0.81,5.64,3.22,0,149.05,0.81,2.42,70.09,46.73,6.45,1.61,3.22,0,0,2.42,0,0,8.86,0,35.45,0,0,41.89,0,1.61
 48-58,0,0,0,0,32.13,0.57,21.8,1.15,20.66,7.46,4.02,2.3,0,3.44,0,0,1.15,1.72,1.15,0.57,302.4,0.57,9.75,54.51,45.9,5.16,1.72,5.16,0,0.57,1.72,0,0,5.74,0,26.97,0,1.72,38.44,0,1.15
 60-70,0,0,0.98,0,26.5,0.98,22.58,1.96,24.54,2.94,9.82,3.93,0,5.89,0,0,3.93,1.96,1.96,0,478,0.98,15.7,65.76,32.39,7.85,0.98,3.93,0,0,0,0,0,5.89,0,9.82,0,9.82,40.24,6.87,0
 72-82,0,0,1.96,0,33.38,0.98,33.38,0.98,18.65,7.85,17.67,11.78,0,5.89,0.98,0,1.96,7.85,3.93,0,594.89,0,12.76,57.92,38.28,2.94,2.94,5.89,0,0.98,0,0,0,10.8,0,19.63,0,23.56,58.9,22.58,1.96
 84-94,1.06,0,4.25,0,69.03,2.12,47.79,2.12,32.92,9.56,13.81,13.81,0,6.37,3.19,1.06,6.37,4.25,3.19,0,364.28,0,13.81,40.36,35.05,14.87,2.12,6.37,0,0,7.43,0,0,10.62,0,6.37,2.12,23.36,59.47,19.12,0
 96-106,0,0,2.19,1.09,110.38,2.19,17.49,5.46,39.34,5.46,14.21,20.76,0,5.46,4.37,4.37,6.56,3.28,3.28,1.09,418.56,2.19,13.11,43.71,44.81,16.39,7.65,5.46,0,0,1.09,0,0,5.46,0,18.58,3.28,16.39,56.83,22.95,2.19
108-118,0,0,1.53,0.77,91.92,2.3,35.23,2.3,46.72,5.36,14.55,18.38,0,1.53,3.83,5.36,8.43,3.06,10.72,0,340.09,0.77,9.19,33.7,40.6,19.92,5.36,6.13,0,2.3,4.6,0,0,9.96,0,6.89,0.77,11.49,46.72,13.79,0
120,0,0,1.96,0,82.31,0,23.52,5.88,33.32,3.92,3.92,15.68,0,5.88,3.92,0,0,11.76,5.88,0,219.5,1.96,0,15.68,29.4,29.4,3.92,5.88,0,1.96,5.88,0,0,1.96,0,9.8,1.96,3.92,19.6,13.72,0
