stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16,0,1,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,15.6,0,0.82,0.82,0,0,0,0,105.07,0,0,0,0,0,1.64,0,0,0,6.57,0.82,0,0.82,0,0,0.82,0,0,8.21,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,124.07,0,0,0,0,0,19.34,0,0,0,7.25,0.81,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0.57,4.59,0,1.72,0,0,0.57,0,0,125.09,0,0,0,0.57,0.57,29.26,0,0,0.57,8.03,0,0,0,0,0,1.72,0,0,10.33,0,1.15
 60-70,0,0,0,9.82,0,0.98,0,0,0.98,2.94,0.98,118.76,0,0,0,0.98,0,16.69,0,0,0.98,10.8,0,0,0,0,0,0,0,0.98,15.7,0,0
 72-82,0,0,8.83,44.17,0,12.76,0,0,0.98,21.6,0,264.07,0.98,0,0.98,0.98,1.96,44.17,0.98,0,1.96,13.74,0,0,1.96,0,0.98,2.94,1.96,0,40.25,0.98,0
 84-94,0,2.12,9.56,27.61,0,2.12,2.12,0,2.12,15.93,0,280.38,0,0,0,0,0,30.8,1.06,1.06,1.06,9.56,0,1.06,1.06,0,0,0,9.56,0,28.68,1.06,0
 96-106,0,2.19,43.71,41.53,0,7.65,1.09,0,3.28,34.97,0,457.9,3.28,1.09,1.09,2.19,0,39.34,0,2.19,2.19,20.76,1.09,1.09,4.37,1.09,0,0,19.67,0,64.48,0,0
108-118,0,0.77,37.53,46.72,0.77,9.96,0.77,0,5.36,28.34,0,372.26,1.53,0,0,0.77,0,22.21,1.53,0,2.3,16.09,0,0,2.3,0,0.77,0,22.21,0,47.49,0,0
120,0,0,23.52,37.24,0,7.84,0,1.96,0,31.36,0,413.51,1.96,0,1.96,1.96,0,21.56,0,1.96,0,13.72,0,0,3.92,0,0,0,5.88,0,35.28,0,0
