stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,10.51,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,110.41,2.63,0,0,60.46,2.63,0,0,0
 10-12,0,0,12.59,0,3.15,15.73,0,0,0,0,0,0,3.15,0,0,0,0,0,116.44,0,0,0,25.18,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,0,0,0,4,0,0
 24-34,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,2.46,0,0,0.82,6.57,0,0,0.82,0,1.64,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,1.61,0,0,1.61,7.25,0,0,0,0,4.03,2.42,0,0
 48-58,0,0,0,0.57,0,1.72,0,0,1.15,0,0,0,0,0,4.02,0,0,0,4.02,0,0,0,0,1.72,1.72,0,0
 60-70,0,0,0.98,0,0,2.94,0,0,2.94,0,0,0,0,0,7.85,0,0,0,7.85,0,0,0,0,3.93,0.98,0,1.96
 72-82,0,0,0,0,0,2.94,0,0,2.94,0,0,0.98,0,0,4.91,0,0,0.98,8.83,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,1.06,2.12,0,0,0,0,0,2.12,0,1.06,0,2.12,0,0,0,0,7.43,0,0,1.06
 96-106,0,0,0,1.09,0,2.19,0,0,1.09,0,0,0,0,0,1.09,0,0,0,2.19,0,1.09,0,0,7.65,0,0,0
108-118,0,0,0,0,0,2.3,0.77,0,0.77,0.77,0,0,0,0,3.06,0.77,0,0.77,1.53,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0,0,3.92,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0
