stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,25.18,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,132.17,0,0,0,22.03,6.29,0,37.76,0,0,0,0,0,0
 14-21,1,0,10,564,23,6,1,0,2,13,0,5,2,13,0,6,40,6,0,8,38,2,0,0,12,159,23,7,2,3,10,0,0,2
 24-34,0,0,8.21,117.38,0.82,13.95,12.31,0,2.46,3.28,0.82,0.82,0,0,0.82,6.57,31.19,1.64,0,13.13,22.98,0,0,0.82,0,85.37,0,0,0,0,4.93,3.28,0,2.46
 36-46,0,0,0,15.31,0,2.42,2.42,0,0,0.81,0,0,0,0.81,0,0.81,9.67,0,1.61,4.03,7.25,0,0,0,0,34.64,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,3.44,0,2.3,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0,0.57,4.59,0,0,0,0,5.16,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,3.19,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,1.09,0,3.28,0,2.19,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
