stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,777.5,15312.76,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0
  5-6,956.22,15783.81,0,0,0,0,0,49.04,0,0,0,0,196.15,30.65,42.91,300.35,0,0,0,0,0
  7-9,89.38,144.58,120.92,0,2.63,302.3,0,39.43,0,0,0,0,5241.65,73.6,967.37,15.77,23.66,0,0,0,0
 10-12,0,15.73,94.41,0,22.03,40.91,0,0,0,0,0,0,500.37,31.47,69.23,0,15.73,3.15,53.5,0,0
 14-21,0,0,3,14,6,1,0,0,8,0,86,22,27,41,1,0,0,2,0,2,4
 24-34,0.82,0,0,2.46,0,0,0,0,2.46,0.82,9.85,0.82,1.64,0.82,0,0,0,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
