stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0.82,4.93,0,0,0,0.82,0,0,0
 36-46,0,0,0,1.61,0,0.81,0,0,1.61,3.22,0,0.81,0,0,0,0,0
 48-58,0,0.57,0,3.44,0,0,1.15,0,0,5.74,0,0,0,0,0,0,0
 60-70,0,0,0,5.89,0,0,5.89,0,0,4.91,0.98,0,0,0.98,0,0,0
 72-82,0,0,0,17.67,1.96,0.98,12.76,0,0,9.82,0,0,0,0,0.98,0,0.98
 84-94,0,0,0,10.62,0,0,9.56,0,0,4.25,0,0,0,0,0,2.12,0
 96-106,0,0,0,14.21,0,1.09,13.11,1.09,0,7.65,0,0,1.09,0,0,0,0
108-118,0.77,0,1.53,9.96,0,0.77,4.6,0.77,0,4.6,0,0,0,0,0,1.53,0.77
120,0,0,0,17.64,0,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0
