stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0.81,0.81,1.61,0,0,0,0,3.22,0
 48-58,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0.57,0
 60-70,0,0,0,0,9.82,0.98,0.98,0.98,0,0,0,0,0,5.89,0,0,0.98,0,2.94,0
 72-82,0,0,0.98,0.98,40.25,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0.98
 84-94,0,0,1.06,0,47.79,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,95.08,0,0,0,0,0,1.09,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0,81.19,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,88.19,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0
