stage,epidermis,eye,fin_epithelia,glial,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord
 14-21,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,1.64,0,0.82,0,0.82,2.46,0,0
 36-46,0.81,0,0.81,0,0,3.22,0,0.81,0,0.81,0.81,0,0
 48-58,0,0,0,0.57,0,8.03,0.57,1.72,1.15,1.72,1.15,0.57,0
 60-70,0,0,0,0,0.98,10.8,0,0,1.96,0,1.96,0,0.98
 72-82,0,0,0,0,0,5.89,0,0,0,0,4.91,0.98,0
 84-94,0,2.12,0,0,0,4.25,0,0,0,0,5.31,2.12,0
 96-106,0,0,0,0,1.09,9.84,0,1.09,0,0,4.37,0,0
108-118,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0.77,0
120,0,1.96,0,0,0,0,0,0,0,0,0,0,0
