stage,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,1,5,1,0,0,0,1,0,0,0,0,0,0,1,3,0,2,37,0,2,2,2,0,1,6,1,7,17,0,0,0
 24-34,0,0,4.1,8.21,0,0.82,0,2.46,0,0,0,0,0.82,0.82,0.82,2.46,0,0.82,64.03,0.82,0.82,1.64,0,0,4.1,0,0,0,14.78,0,1.64,0
 36-46,0,0,1.61,9.67,0.81,0,0,3.22,0,0,0,0,0,0,0,4.83,0,2.42,44.31,0,0.81,0,0,0,0.81,0,0,0,12.09,0,0.81,0
 48-58,0,0,0.57,15.49,0,0.57,0,6.31,0,0,0,0,0,0,0.57,7.46,0.57,1.15,31.56,0,0.57,1.15,0,0,0.57,0,0,0,8.61,0,0,0.57
 60-70,0.98,0,0.98,11.78,0,0,0,4.91,0.98,0,0,0,0,0,0,7.85,0,0,17.67,0,0,0,0,0,1.96,0,0,0,1.96,0.98,0.98,0
 72-82,0,0,1.96,13.74,0.98,0.98,0.98,8.83,0,0.98,0,0,0,0,0,5.89,0,0.98,20.61,0.98,0,0,0,0,0.98,0,0,0,1.96,1.96,2.94,0
 84-94,1.06,0,0,2.12,0,0,0,4.25,1.06,1.06,0,1.06,0,0,0,2.12,0,2.12,7.43,0,1.06,0,0,1.06,2.12,0,0,0,1.06,0,3.19,0
 96-106,0,0,1.09,6.56,0,0,0,2.19,1.09,0,1.09,0,0,0,0,3.28,0,1.09,6.56,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0.77,3.06,0,0,0,3.06,0.77,0,0,0,0,0,0,3.06,0,0,8.43,0,0,0,0,0,0.77,0,0,0,1.53,0,0.77,0
120,0,0,0,0,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96,1.96,0,7.84,0,0,1.96,0,0,0,0,1.96,0,1.96,1.96,0,0
