stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,4,0,0,0,0,0,0,0,2,0,0,2,15,1,0,0,0,2,0,2,5,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,1.64,0,0,0,10.67,0,0,0.82,0,0,0.82,0,0.82,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,4.03,0,0.81,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,0,0,0.57,0,1.15,0.57,0,1.15,7.46,0,0.57,0.57,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,5.89,0.98,0.98,0,0,0,1.96,0,0.98,0,11.78,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,1.96,0.98,0,0,4.91,0,0.98,0.98,2.94,0,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,1.06,0,0,0,3.19,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,0,0,0,4.37,0,0,2.19,2.19,0,0,0,2.19,0,0,0,0,0,0
108-118,0.77,0,0,0.77,1.53,0.77,0,0,0.77,0.77,0,0,2.3,4.6,0,0,0,1.53,0,1.53,0,0,0.77,0.77
120,0,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
