stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,1,9,0,0,0,0,0,3,1,1,4,5,0,0,0,0,0
 24-34,0,0,11.49,0,0,0.82,0,1.64,0,0,0,0,0,8.21,0,4.1,89.47,0,0,0,0,1.64,0,3.28,0,1.64,7.39,0,0,3.28,0,0
 36-46,0,0,7.25,0,4.03,0,0,3.22,0,0,0,0,0.81,17.72,0.81,1.61,115.21,0.81,0.81,0,0,2.42,0,1.61,0,0,4.83,0,0,2.42,0,0
 48-58,0,0,12.62,0.57,20.08,0.57,0.57,4.02,0.57,0.57,0.57,0,0,44.18,0,0,87.79,1.15,0.57,0,0,0.57,0,0,0,0,13.77,0,0,0.57,0,0.57
 60-70,0,0,6.87,0,12.76,1.96,0.98,2.94,0,0,0,0,0,108.95,0,0.98,35.33,0,0.98,0,0,0.98,0,0,0,0,3.93,0,0.98,0.98,0,0
 72-82,0,0,5.89,0,22.58,0,0.98,4.91,0,0,0,0,0,96.2,0.98,0.98,30.43,0,0,1.96,0,0.98,0,0,0,0,2.94,0,0,2.94,0.98,0.98
 84-94,0,0,3.19,0,7.43,0,0,3.19,0,1.06,0,1.06,0,83.9,1.06,2.12,11.68,0,1.06,0,0,0,0,0,0,0,0,0,1.06,2.12,0,0
 96-106,1.09,0,7.65,0,6.56,0,0,3.28,1.09,0,0,0,0,67.76,0,1.09,15.3,0,1.09,0,0,0,0,0,0,0,0,0,1.09,2.19,0,1.09
108-118,0,0.77,3.06,0.77,6.13,0,0.77,1.53,0,0,0,0,0,78.89,0,1.53,13.79,0,2.3,1.53,0,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,45.08,0,0,31.36,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0,0
