stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,18,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,21.34,0,0.82,0,0,0,0,0,1.64,0.82,0.82,0,0,0,8.21,0.82,0,0,1.64,4.1,1.64,0,0,0.82,8.21,1.64,1.64,4.93,0,0,0.82,0,2.46
 36-46,0,0.81,0,0.81,0,0,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0,13.7,0.81,0.81,0,0,13.7,0.81,0,0,0.81,3.22,0,0,1.61,0,0,0.81,0,3.22
 48-58,0,0,0,0.57,2.3,0,1.72,0.57,0.57,0,0,0,5.16,0,0,0,0,0,4.02,1.15,0.57,0,0,10.33,0,0,0,0,2.3,0.57,0,4.59,0,0,4.02,0,4.59
 60-70,0,0.98,0,0,1.96,0,4.91,1.96,0,0,4.91,0.98,0,0,0.98,0,0,0,1.96,2.94,0.98,0,0.98,28.46,0,0.98,0,0,5.89,0,0,2.94,0,0,0,0,3.93
 72-82,0,4.91,0,0.98,12.76,0,13.74,0.98,0,0.98,13.74,4.91,2.94,4.91,2.94,0.98,0,0.98,5.89,8.83,0,0.98,0.98,47.12,0.98,0,0,0,3.93,0,0,4.91,5.89,0,5.89,0,3.93
 84-94,0,4.25,0,0,14.87,0,31.86,1.06,0,0,4.25,11.68,2.12,3.19,2.12,1.06,0,0,2.12,1.06,2.12,0,0,30.8,0,1.06,0,2.12,13.81,0,0,0,11.68,0,9.56,0,5.31
 96-106,0,2.19,0,5.46,15.3,0,86.33,1.09,1.09,0,29.51,41.53,0,9.84,3.28,1.09,1.09,1.09,0,10.93,2.19,0,0,51.36,0,1.09,0,1.09,12.02,0,0,3.28,36.06,1.09,14.21,0,7.65
108-118,0,0,0.77,6.13,10.72,3.83,124.85,0.77,0,0,26.81,36.77,0,13.79,3.06,2.3,0.77,0.77,4.6,8.43,1.53,0,0.77,50.55,0,0,0.77,1.53,9.96,1.53,0,0.77,34.47,0.77,13.02,1.53,13.79
120,0,5.88,1.96,3.92,19.6,0,56.83,0,0,0,13.72,25.48,0,11.76,0,0,1.96,1.96,1.96,7.84,0,0,0,58.79,0,0,0,0,9.8,3.92,0,0,15.68,1.96,5.88,0,5.88
