stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,0,2,0,0,1,0,1,5,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,6.57,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,1.61,4.83,0,0,0,0,0,1.61,0,2.42,0,0.81,0,0
 48-58,0,0,0,0,0,6.89,0,1.15,0,0,0,0,0,1.15,0.57,4.02,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0.98,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,8.83,0.98,1.96,0.98,0,0,0,0,2.94,0,8.83,0,0,0,0.98,0,0.98,0,3.93,0.98,0,0,0
 84-94,0,0,0,1.06,0,2.12,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0,0,2.19,1.09,2.19,1.09,0,1.09,1.09,0,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0.77,0.77,0,1.53,0.77,0,0,0.77,0,2.3,0,3.06,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0,0,0
