stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,23.8,1.64,0.82,0,0,0,9.03,0,0,0,0,0
 36-46,0,0,1.61,0,0,1.61,0,0,0,0.81,0,0,1.61,0,0,0.81,66.87,0.81,0,0,0,0,18.53,0,0,0,0,0
 48-58,0,0,2.3,0,0,1.15,2.3,0,0,0,0,0.57,2.3,0,0,1.15,59.1,0,0,0,0,0.57,6.31,0,0,0,0,0
 60-70,0,0,5.89,0,0,0,8.83,0,0,0,0,0,2.94,0,0,1.96,127.6,0,0,0,0.98,0,3.93,0,0.98,0,0,0
 72-82,0,0.98,11.78,0,0,0,8.83,0.98,0,0,0,0,5.89,2.94,0,0,157.07,3.93,0,0,0,0,4.91,0,0.98,0,0.98,0
 84-94,2.12,0,7.43,0,1.06,1.06,8.5,0,0,1.06,0,0,7.43,0,0,0,89.21,2.12,0,0,1.06,0,4.25,0,0,2.12,0,0
 96-106,7.65,0,9.84,1.09,0,0,4.37,2.19,0,0,1.09,0,8.74,0,1.09,0,90.71,2.19,0,0,2.19,0,3.28,1.09,2.19,4.37,0,1.09
108-118,12.26,0.77,6.13,0,0,0.77,3.06,0.77,0,0,0,0,3.83,0,0.77,0,107.23,3.83,0.77,0,2.3,0,2.3,0,0,1.53,0.77,0
120,3.92,0,5.88,1.96,0,0,3.92,1.96,0,0,0,1.96,3.92,0,0,0,99.95,0,1.96,0,0,0,1.96,0,0,1.96,0,0
