stage,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0
 36-46,0.81,0,0,0,0,0,0,0,0,0,0,2.42,0,0.81,0
 48-58,0,0,0.57,0,0,1.72,0,0,0,0.57,0,2.3,0,0,0
 60-70,0,0,0,0.98,0,2.94,0,0,0,0.98,0,2.94,0,0.98,0.98
 72-82,0,1.96,0,2.94,0,5.89,1.96,0.98,0,0,0.98,3.93,0,0,0.98
 84-94,2.12,0,0,2.12,0,12.74,1.06,0,0,0,0,8.5,0,0,1.06
 96-106,1.09,0,0,0,1.09,22.95,0,0,2.19,0,0,3.28,0,0,0
108-118,2.3,0,0,2.3,0,16.09,0,0,0,1.53,0,6.13,0,0,0
120,0,1.96,0,0,0,23.52,0,0,5.88,0,1.96,9.8,0,0,0
