stage,axial,blastomeres,epidermis,eye,gut,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,vasculature
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,21.03,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0.82
 36-46,0,0,0.81,0,0.81,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0.98,0.98,0,1.96,0,0,0,0
 96-106,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,1.53,0,0,0,0,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0
