stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,1.64,0,1.64,0,0,0,0,2.46,0,0,39.4,0.82,0.82,0,0,1.64,9.03
 36-46,0,0,0,0,0,4.83,0,0.81,0,0,0,0,1.61,19.34,0,0,0,0,0.81,4.03
 48-58,0,0,0.57,1.15,0.57,2.87,0,0.57,0,0.57,5.16,0.57,0.57,14.35,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,3.93,0,0,0.98,0,3.93,0,0,4.91,0,0,0.98,0,0,0
 72-82,0,0,0.98,0.98,0.98,12.76,0,0,0.98,1.96,15.71,0,0.98,9.82,0.98,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,0,0,0,1.09,1.09,0,0,4.37,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0.77,0.77,0.77,0,0.77,0,0.77,5.36,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
