stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,6.13,85.81,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,2,0,3,0
 24-34,0,0,0.82,0,0.82,3.28,0,0,0,0,0,0,0,1.64,0,0,17.24,0.82,0,1.64,0,0.82,0.82,1.64,1.64,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0,1.61,11.28,0,0,0,0,0,0.81,0,5.64,0
 48-58,0,0,0,0,0,2.87,0,1.15,0,0,0,0,0.57,1.15,0,0,4.59,0,0.57,0,0,0.57,0.57,0,2.87,0.57
 60-70,0,0,0,0,0,5.89,0,1.96,0,0,0,0,0,1.96,0,0,6.87,0,0.98,0,0,0,0,0.98,1.96,0
 72-82,0,0,0,0,0,4.91,0,0.98,0.98,0,0,0.98,0,4.91,0,0,7.85,0,0.98,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,1.06,0,0,0,0,0,2.12,0,1.06,2.12,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,1.09,0,0,0,1.09,5.46,0,0,2.19,0,2.19,3.28,0,1.09,2.19,0,0,0
108-118,0.77,0,0,0.77,0,1.53,0.77,0.77,0.77,0,0,0,0.77,1.53,0.77,0.77,7.66,0,2.3,0.77,0,0.77,1.53,0.77,0,0
120,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,1.96,0,0,0
