stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,5.26,0,0,0,2.63,0,0,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0.82,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,1.61,0,0,0,0,0,1.61,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0,0,0.98,0,14.72,0,0,2.94,0,0,0,0,0,0,1.96,2.94,0.98
 84-94,0,0,0,0,0,0,1.06,0,1.06,2.12,0,0,0,5.31,0,0,0,0,0,0,0,0,0,0,4.25,0
 96-106,0,0,0,0,0,1.09,0,0,1.09,3.28,0,0,0,20.76,0,1.09,5.46,0,0,0,0,0,0,0,6.56,1.09
108-118,0,0,0.77,0,0,8.43,0.77,0.77,0,3.06,0,0,3.83,27.57,0,1.53,3.06,0,0,1.53,0.77,0,0,0,5.36,0.77
120,0,0,0,0,1.96,3.92,3.92,0,1.96,5.88,0,0,1.96,29.4,0,0,5.88,0,0,0,0,0,0,0,0,1.96
