stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,mucous,muscle,neural,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,1,1,4,0,0
 24-34,0,0,1.64,0.82,0,0,0,0.82,10.67,0,0,0,0,1.64,0.82,0.82
 36-46,0,0,0.81,0,0.81,0.81,0,0,5.64,0,0.81,0,0,4.03,0,0
 48-58,0,0,2.3,0,1.72,0,0,0,5.16,0,0.57,0,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,2.94,0.98,0,2.94,0,0.98,0,0,0,0,0
 72-82,0,0,0.98,0,0,1.96,0,0,1.96,0.98,0.98,0,0,0.98,0,0
 84-94,0,0,3.19,0,1.06,3.19,0,2.12,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,1.09,1.09,0,1.09,3.28,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0.77,1.53,0,0,4.6,0,0,0,0,0,0,0
120,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0
