stage,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,5.26,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,9.44,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,1,0,2,0,0,0
 24-34,0,0.82,0.82,0,0,3.28,0,0,0,0,0,0,5.75,0,0.82,9.03,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0.81,0.81,0,1.61,0,0,0,0,0,0,3.22,4.03,0.81,14.5,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,5.74,0,1.72,0,0,0.57,0,0,0,0,6.89,4.02,0,17.79,0,0.57,0,1.15,0,0,0,1.15,0.57,0,0
 60-70,0,0,22.58,0.98,0,0.98,0,1.96,0,0,0,0,21.59,12.76,0.98,44.17,0,0.98,0,0,0,0,0,3.93,6.87,1.96,1.96
 72-82,0,0,39.27,0,1.96,0.98,0,0,0,0,0,0,31.41,6.87,0,89.33,0,2.94,0,2.94,0,0,0,4.91,9.82,0,13.74
 84-94,0,0,24.43,1.06,3.19,10.62,0,0,1.06,2.12,0,1.06,11.68,15.93,0,41.42,2.12,1.06,0,0,0,0,0,5.31,16.99,1.06,15.93
 96-106,0,3.28,28.41,0,4.37,2.19,0,0,1.09,3.28,2.19,0,9.84,9.84,1.09,49.18,2.19,10.93,0,0,2.19,0,0,0,10.93,0,16.39
108-118,0,0,30.64,2.3,4.6,7.66,0,0,2.3,3.06,0,0,14.55,3.06,0,77.36,0,2.3,0,3.06,0,0,0,1.53,14.55,0,8.43
120,1.96,5.88,33.32,1.96,0,11.76,0,0,5.88,0,0,0,23.52,3.92,0,90.15,0,1.96,0,0,0,0,0,1.96,5.88,0,17.64
