stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,35,1,0,0,0,0,0,5,0,0,1,10,0,4,14,1,0,0,71,110,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0.82,25.45,0,0,0,0,2.46,0,1.64,0,0,1.64,13.95,0,22.98,3.28,0,0,0,44.33,60.74,0,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,12.89,0,0,0,0,0,0,0.81,0,0,0,17.72,0,33.84,3.22,0,0,0,14.5,29,0,0,0,0
 48-58,0,0,0,0,0,0,3.44,0,15.49,0.57,0,0,0,2.3,0,1.72,0,0,0,12.05,0,22.38,5.16,0,0,0,5.16,28.69,0,0,0,0
 60-70,0,0,0,0,0,0,7.85,0,18.65,0,0,0,0,10.8,0,0,0.98,0,0,11.78,0.98,37.3,9.82,0,0,0,2.94,19.63,0,0,0,0
 72-82,0,2.94,0,0,0,0,6.87,0,16.69,0,0,0,0,22.58,0,0.98,0.98,0,0,13.74,0,58.9,30.43,0,0.98,0,2.94,13.74,0,0,0,0
 84-94,0,1.06,2.12,1.06,0,0,12.74,0,9.56,0,0,0,1.06,29.74,0,0,0,0,0,11.68,0,55.23,28.68,0,0,1.06,7.43,12.74,1.06,0,0,1.06
 96-106,0,1.09,3.28,0,0,0,14.21,0,10.93,1.09,1.09,1.09,0,42.62,0,0,0,0,1.09,6.56,0,87.43,31.69,0,2.19,0,7.65,17.49,0,0,0,0
108-118,0,0.77,1.53,0.77,0,0,13.79,0,5.36,0,0,0,0,24.51,0.77,1.53,0,0.77,0,9.19,0.77,51.32,21.45,0,0,0,5.36,4.6,0.77,0,0,0
120,0,0,0,1.96,0,1.96,13.72,0,0,0,0,0,0,27.44,0,0,0,0,0,3.92,0,31.36,19.6,0,0,0,1.96,0,0,1.96,1.96,0
