stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,12.59,15.73,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,166,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,6,0,1,18,0,0,0,0,637,9,0,0,2,8,0,0,0,0,0
 24-34,0,0,0.82,224.09,0,0,14.78,0,14.78,0.82,1.64,3.28,0.82,0.82,0.82,7.39,0,0.82,0.82,0,9.85,30.37,0,5.75,112.46,0.82,9.03,0,0,1797.67,0,0,0.82,0.82,18.88,0,0,4.1,0,0.82
 36-46,0,0,0,75.73,0.81,0,24.17,0,32.23,0.81,4.83,0.81,0,0.81,0,13.7,0,0.81,0.81,0.81,7.25,27.39,0,1.61,103.93,0.81,15.31,0,0,1964.22,0,0.81,0,0,18.53,0,0,1.61,0,0.81
 48-58,0,0,0.57,115.33,1.15,0,31.56,0,49.35,2.3,5.74,2.3,0.57,0.57,0.57,4.59,0,0.57,0,1.72,16.64,16.07,0,4.02,68.28,0,6.31,0.57,0,1572.23,0,0,0,0,13.77,0,0,0.57,0,1.15
 60-70,0,0,0,163.91,0,0,26.5,0,39.26,0,3.93,10.8,0.98,0,0,5.89,0,0.98,0,0,13.74,14.72,0,0.98,41.22,0,7.85,0,0,1335.85,0,0,0,0,8.83,0.98,0,0.98,0,0
 72-82,0,0,0,183.57,0.98,0,20.61,0,32.39,1.96,3.93,43.19,0.98,0,0,24.54,0,0,0,0,8.83,8.83,0,0.98,51.05,0.98,10.8,1.96,0,1141.67,0,0,0.98,0,2.94,10.8,0,0.98,0.98,0.98
 84-94,0,0,0,461.99,3.19,0,12.74,0,115.76,2.12,5.31,145.5,0,0,0,69.03,0,0,0,0,8.5,27.61,0,1.06,23.36,0,26.55,3.19,0,3281.7,0,0,0,0,1.06,71.16,0,1.06,0,0
 96-106,0,0,0,608.72,2.19,1.09,17.49,0,91.8,1.09,8.74,184.69,0,0,2.19,62.29,0,4.37,1.09,1.09,13.11,27.32,1.09,6.56,62.29,0,17.49,1.09,0,2268.75,0,1.09,0,0,1.09,67.76,1.09,2.19,2.19,2.19
108-118,0,0,0.77,477.19,0.77,3.06,11.49,0,127.15,0,3.06,216,0,0.77,0.77,84.26,0,0,0.77,0,11.49,42.89,1.53,0,44.43,0.77,18.38,0,0,2232.02,0,0,0.77,0,0.77,64.34,1.53,0,1.53,0.77
120,0,0,0,276.33,0,0,19.6,1.96,47.03,0,3.92,76.43,0,0,1.96,27.44,1.96,0,0,0,1.96,19.6,0,1.96,39.2,1.96,3.92,0,0,1011.25,0,0,0,0,0,21.56,0,3.92,0,0
