stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,909.28,16591.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869.74,0,0,0,0,0,0,0,0,0,0,0
  5-6,723.3,8195.32,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,183.89,6.13,0,0,61.3,0,263.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,78.86,49.95,144.58,0,0,128.81,0,0,0,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0,1574.6,42.06,0,0,428.48,0,7.89,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,34.62,0,3.15,40.91,0,0,0,0,0,44.06,0,0,0,0,0,3.15,0,0,0,0,0,320.99,6.29,0,0,75.53,0,0,15.73,0,18.88,0,0,0,0,0,0,0,0
 14-21,1,0,7,145,10,5,0,0,0,2,8,2,1,0,6,0,0,0,0,12,0,0,10,59,14,3,11,6,0,67,1,23,4,3,21,26,0,0,1,0,0
 24-34,0,0,0,17.24,1.64,13.13,0,2.46,0,2.46,0,0,1.64,0.82,1.64,0.82,0,0,0.82,13.95,2.46,0,6.57,195.36,8.21,3.28,3.28,0,0,28.73,0,0,0,0,0.82,49.25,0,0,5.75,0,0
 36-46,0,0,0,2.42,0,37.87,0.81,1.61,0.81,10.47,0,0,0,0,0,0,0,0,0,28.2,0,0.81,9.67,182.08,1.61,2.42,3.22,0,0,12.89,0,0,0.81,0,0,63.65,0,0.81,2.42,0,0
 48-58,0,0,0,4.59,0,79.19,1.72,1.15,1.15,16.07,0,0,0,0.57,0,0.57,1.15,0,0,32.13,0.57,0.57,4.02,258.79,2.3,0,1.72,0,0,10.33,0,0,0.57,0.57,0,54.51,0,0,4.02,0,0.57
 60-70,0,0,0,4.91,0,104.04,0,0,1.96,10.8,1.96,0,2.94,0,1.96,0,0.98,0,0.98,32.39,0,1.96,2.94,255.2,0,0.98,1.96,0,0,7.85,0,0,0,0,0,19.63,0,0,1.96,0,0
 72-82,0,0,0,5.89,1.96,120.74,0,4.91,5.89,43.19,3.93,0,0.98,0.98,0.98,1.96,5.89,0,0.98,69.7,0,3.93,4.91,333.77,0.98,1.96,1.96,0,1.96,8.83,0,0,0,0,0,31.41,0,1.96,5.89,2.94,0
 84-94,0,0,0,9.56,1.06,58.41,0,1.06,1.06,10.62,1.06,1.06,0,1.06,0,2.12,2.12,0,1.06,30.8,0,3.19,2.12,80.71,0,1.06,0,0,1.06,22.3,0,0,1.06,0,0,19.12,1.06,1.06,0,2.12,0
 96-106,0,0,0,12.02,0,32.79,1.09,6.56,2.19,17.49,0,0,1.09,1.09,2.19,1.09,0,2.19,0,31.69,3.28,0,4.37,80.87,0,3.28,0,0,1.09,63.39,0,0,1.09,0,0,5.46,1.09,0,5.46,2.19,0
108-118,0,0,0,6.89,0.77,31.4,0,1.53,0,12.26,1.53,0,0,1.53,2.3,0,0.77,0,0.77,22.21,0.77,3.06,1.53,104.17,0.77,0.77,0,0,1.53,30.64,0,0,0,0,0,1.53,0,0,4.6,0,1.53
120,0,0,0,7.84,1.96,21.56,0,0,0,9.8,0,0,1.96,0,0,0,0,0,0,19.6,0,0,7.84,66.63,0,0,0,0,0,17.64,0,0,0,0,0,5.88,0,0,3.92,3.92,0
