stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,15.77,2.63,0,0,0,2.63,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,32.71,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,49.08,0,1.96,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0.98,70.68,0,1.96,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,147.62,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,0,174.86,0,1.09,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,0,0,138.64,0,0.77,0,2.3,0,0,0.77,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,148.94,1.96,0,0,1.96,0,0,0,0,0,0,0
