stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,18.4,0,2.63,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0.82,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,4.59,0,0,0,1.15,0
 60-70,0,0,0,5.89,0.98,0.98,0,0,0,0,0,5.89,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,0,0,1.06,1.06,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,1.09,0,0,0,0,0,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0
