stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,14,271,41,0,68,0,3,0,10,13,1,1,1,2,1,1,0,2,87,1,0,84,841,74,3,14,31,0,5,1,160,9,10,163,333,0,0,5,0,2
 24-34,0,3.28,2.46,47.61,4.1,0,69.77,0,10.67,9.03,27.91,2.46,0,0.82,2.46,0.82,0.82,4.1,0,2.46,100.14,3.28,0.82,63.21,702.65,18.06,7.39,6.57,0,0,21.34,0,0,2.46,1.64,32.83,220.81,0,0,10.67,0,4.1
 36-46,0,0,0,7.25,0,0,70.09,0,3.22,14.5,20.14,1.61,0,0,0.81,0,0,0,0,0,73.32,0,0.81,34.64,661.45,7.25,3.22,4.03,0,0,11.28,0.81,0,0.81,2.42,0,197.39,0,0,4.83,0,2.42
 48-58,0,1.15,0.57,9.18,0,0,171.57,1.15,2.3,16.07,87.79,1.15,0,1.72,1.15,0,1.72,2.3,0,1.15,176.16,2.87,5.74,30.41,674.79,6.89,3.44,5.74,0,1.15,5.74,0,0,1.72,1.15,0,188.21,0,2.3,2.87,0,8.61
 60-70,0.98,0.98,0,6.87,0.98,0,296.42,0.98,1.96,8.83,118.76,1.96,0,1.96,2.94,0.98,2.94,0.98,0.98,0.98,185.51,0,5.89,14.72,795.03,4.91,3.93,3.93,0,1.96,7.85,0,0,1.96,0.98,0,136.43,0,1.96,3.93,2.94,1.96
 72-82,0,0,0,8.83,1.96,0,225.78,0,0.98,10.8,159.03,2.94,0,3.93,4.91,1.96,2.94,2.94,0,1.96,223.82,1.96,6.87,19.63,594.89,2.94,18.65,14.72,0,1.96,1.96,0.98,0,0,0,0,73.62,5.89,6.87,7.85,5.89,4.91
 84-94,0,0,0,11.68,0,0,138.06,1.06,2.12,14.87,74.34,3.19,0,0,6.37,0,0,1.06,1.06,1.06,137,0,6.37,8.5,230.46,4.25,4.25,6.37,0,2.12,7.43,0,0,1.06,0,0,32.92,1.06,7.43,4.25,3.19,3.19
 96-106,0,0,0,15.3,6.56,0,162.83,0,2.19,4.37,83.06,8.74,0,2.19,12.02,2.19,2.19,3.28,3.28,0,122.4,1.09,3.28,18.58,288.51,8.74,18.58,5.46,0,3.28,4.37,0,0,1.09,0,0,18.58,4.37,9.84,5.46,6.56,3.28
108-118,0,0.77,0,9.96,0.77,2.3,79.66,3.06,1.53,1.53,48.26,3.06,0,0.77,5.36,3.83,1.53,0.77,2.3,0,59.75,0,0.77,9.96,271.15,1.53,8.43,9.19,0,0.77,3.83,0,0,0,0,0,9.96,0.77,3.06,6.13,3.83,2.3
120,1.96,0,0,15.68,3.92,0,86.23,0,1.96,0,64.67,3.92,0,3.92,7.84,1.96,0,1.96,1.96,0,56.83,0,3.92,5.88,297.89,0,19.6,3.92,0,3.92,3.92,0,0,1.96,0,0,13.72,1.96,0,1.96,5.88,0
