stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,32.83,0,0,0,0,7.39,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0,0,123.27,0,0.81,0,0,33.03,0,0,0
 48-58,0,0,0,0,6.31,0,0,0.57,4.02,0,0,0,0,0,0,0.57,0,0.57,266.25,0,0.57,0,0,43.04,0,0,0
 60-70,0,0,0.98,0,16.69,0,0,0,7.85,0,0,0,0,0,0,2.94,0,0,480.95,1.96,0.98,0,0.98,56.93,0,0,0
 72-82,0,0,2.94,0,39.27,0,0,0,18.65,0,0.98,0.98,0,0,0,7.85,0,0,412.3,0.98,0,0,0.98,27.49,0,0,0.98
 84-94,0,0,1.06,0,35.05,0,0,0,10.62,0,0,2.12,0,0,0,7.43,0,0,174.17,2.12,0,0,1.06,14.87,0,0,0
 96-106,0,0,2.19,1.09,14.21,0,0,1.09,7.65,1.09,0,0,1.09,0,0,5.46,1.09,2.19,155.18,1.09,0,0,0,7.65,0,0,0
108-118,0,0,1.53,0,13.02,0.77,0,0,6.89,0,0,0.77,0,0.77,0,3.06,0,0,189.19,0.77,0,0,0,6.89,0.77,1.53,0
120,0,0,1.96,0,23.52,1.96,0,0,5.88,0,0,0,0,0,1.96,7.84,0,1.96,250.85,1.96,0,0,0,1.96,0,3.92,0
