stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,207.67,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,92,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,12.59,3.15,0,0,84.97,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1,1,1,2,0,1,31,2,58,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,8.21,0,3.28,0,0,0,0.82,0,0.82,0,0,9.03,0,0.82,5.75,8.21,0.82,0,0,0,0,0,0,2.46,0,0,0,2.46,0,1.64
 36-46,0,0,0,0,0,14.5,0,0.81,0,0,0,0,0,0,0,0,26.59,0,2.42,21.75,1.61,0.81,0,0,0,0,0,0,0,0.81,0,0,0.81,0,3.22
 48-58,0,0,0,0,0,25.82,0.57,0,0.57,0.57,0,0.57,0,0,0,0.57,149.76,0,3.44,28.69,0.57,1.15,0,0,0,0,0,0,0,1.72,0,0,0,0,2.3
 60-70,0,0,0,0,0,50.06,0,0.98,0,16.69,0,0,0,0,0.98,0,270.9,0,3.93,46.13,0.98,0,0.98,0,0,0.98,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0.98,0,24.54,0,0,0,18.65,0,0,0,0,2.94,0,311.19,0.98,0,31.41,0,0,0,0,1.96,0,0,0,0,2.94,1.96,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,38.23,0,0,0,19.12,0,1.06,0,0,0,0,261.26,0,1.06,29.74,2.12,0,0,0,0,0,0,0,0,2.12,0,2.12,0,2.12,1.06
 96-106,0,0,0,1.09,2.19,43.71,1.09,1.09,0,15.3,0,1.09,1.09,0,1.09,0,133.33,0,1.09,21.86,0,2.19,2.19,0,0,1.09,0,1.09,0,1.09,0,1.09,1.09,0,1.09
108-118,0,0,0,1.53,0.77,27.57,0.77,0.77,0,24.51,0,0,0.77,0,0,0,92.68,0,1.53,20.68,0.77,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,13.72,0,0,0,27.44,0,0,0,0,0,1.96,66.63,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
