stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,14,16,3,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,5,1,0,0,0,0,1,2,1,0,0,0,0
 24-34,11.49,4.93,0.82,0,0,0,0,0,0,0,0,0,0,0,16.42,0,1.64,0,3.28,0,0,0,0,0.82,0,4.93,0,0,0,0.82,0
 36-46,6.45,0.81,0,0,0,0,0,0,0.81,1.61,0,0,0,0,9.67,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0.81,0,0,0
 48-58,6.31,0,0,0,0,0,0,0,0,5.16,0,0,0,0,25.82,0,1.72,0,4.59,0,0,0,0,0,0,2.87,0,2.3,0,0,0
 60-70,1.96,0,0,0,0,1.96,0.98,0,0,15.7,0,0,0.98,0,27.48,0,0,0,14.72,0,0,0,0,0.98,0,3.93,0,0,0,0,0
 72-82,16.69,0,0,0.98,36.32,3.93,0,1.96,1.96,89.33,0,0,0,0,95.22,0,4.91,0,29.45,0,0,0,0,0.98,0,13.74,0,0.98,0,1.96,0
 84-94,15.93,0,1.06,2.12,84.96,6.37,0,0,1.06,182.67,0,0,1.06,0,295.25,0,8.5,0,32.92,0,0,0,0,0,0,30.8,0,1.06,0,0,0
 96-106,21.86,0,4.37,1.09,84.15,14.21,0,0,8.74,295.07,1.09,1.09,1.09,0,425.12,1.09,9.84,1.09,71.04,0,0,1.09,0,4.37,0,50.27,0,1.09,1.09,2.19,0
108-118,13.79,0,2.3,0.77,104.17,6.89,0.77,0,0,334.73,0,0.77,0,0.77,667.15,0,6.89,0.77,48.26,0,0.77,0,0,3.83,0,39.06,0,0,0.77,0,0.77
120,9.8,0,1.96,0,43.12,3.92,0,0,0,219.5,0,0,0,0,331.2,0,0,0,31.36,0,0,0,0,0,0,17.64,0,1.96,0,0,0
