stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,24.52,594.57,0,0,0,0,0,0,6.13,0,0,0,0,0,36.78,0,0,24.52,0,0,0,0
  7-9,0,13.14,34.17,0,18.4,0,0,0,10.51,0,0,0,0,0,320.7,0,78.86,0,0,0,0,0
 10-12,0,3.15,6.29,3.15,6.29,0,0,0,0,0,0,0,0,0,88.12,0,18.88,0,6.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,3.28,0,0.82,5.75,0,0,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0.81,1.61,0,0,5.64,0,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,0,0.57,0,0.57,1.72,0,0.57,5.74,0,0,0,0,2.3,0,1.15
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,1.96,0.98,0.98,0,3.93,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,2.94,0,0.98,0,0,0.98,0,2.94,0,0,4.91,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,1.06,0,0,0,2.12,0,3.19,1.06,0,2.12,2.12,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0.77,0,0.77,0,1.53,0,0,2.3,0,0,0,0,0,0,0
