stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,658.9,16353.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751.14,0,0,0,0,0,0,0
  5-6,478.11,5001.78,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,85.81,12.26,0,0,12.26,104.2,0,0,0,0,0,0,0
  7-9,5.26,13.14,21.03,0,0,13.14,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,220.81,21.03,0,0,191.9,2.63,13.14,0,0,0,0,0,0
 10-12,0,18.88,56.65,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,188.82,0,9.44,0,229.73,0,0,0,0
 14-21,0,0,0,8,701,4,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,12,27,0,0,1,9,1,0,21,3,51,12,20,0
 24-34,0,0,0,1.64,490.05,4.1,0,0.82,0,0,0,0,0.82,0,0,0,0,0.82,5.75,0,0,2.46,30.37,1.64,0,0.82,0,1.64,0,0,0.82,4.1,22.16,22.16,0
 36-46,0,0,0,0.81,76.54,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,1.61,9.67,0,0,0,0,0,0,0,0,0,5.64,2.42,0
 48-58,0,0,0.57,0,121.65,4.02,0,0,0,1.15,0,0,0.57,0,0,0,0,1.72,1.72,0,0.57,4.02,5.74,0.57,0,0,0,1.15,0,0,0.57,0,2.3,6.89,0
 60-70,0,0,0,0,47.11,0.98,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,1.96,0
 72-82,0,0,0.98,0,107,3.93,0,0,0.98,0.98,0,0,0,3.93,0,0,0,2.94,0.98,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,2.12,0,116.82,1.06,0,0,0,1.06,0,1.06,0,3.19,1.06,1.06,0,1.06,2.12,0,1.06,1.06,0,0,0,0,0,1.06,0,0,1.06,0,1.06,4.25,0
 96-106,0,0,0,0,177.04,4.37,1.09,1.09,0,3.28,0,0,2.19,0,0,0,1.09,2.19,1.09,1.09,0,0,8.74,0,1.09,0,0,1.09,0,0,0,0,0,4.37,1.09
108-118,0,0,6.89,0,180,1.53,0,0,0,0,1.53,0,0,2.3,0,0.77,0,0,5.36,0,0,4.6,4.6,0,0,0,0,0.77,0,0,0,0,0,4.6,0
120,0,0,0,0,225.38,5.88,0,0,0,1.96,0,0,0,3.92,0,0,0,1.96,1.96,0,1.96,1.96,11.76,0,0,0,0,7.84,0,0,0,0,0,11.76,0
