stage,blastomeres,erythrocytes,eye,glial,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,144.96,0,0,0,0,0,0,0,0,0,13.18,0
  5-6,30.65,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,2.63,0,0,5.26,0,0
 24-34,0,0,0,0,0.82,1.64,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0.57,0,0.57,0.57,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0.98,4.91,0.98,0,2.94,0,0,0,0,0,1.96
 84-94,0,0,1.06,0,0,1.06,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0.77,0,0.77,0.77,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0
