stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.14,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,84.12,7.89,0,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,110.14,6.29,0,0,31.47,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,22,2,1,0,0,1,2,0,0,0,0,0,0,0,4,0,2,49,0,0,0,2,0,2,0,3,0,2,11,1,0,0
 24-34,0,0,0.82,0,4.1,0,0,1.64,0.82,0,0,0,0,0,0,0.82,0.82,0,4.93,32.83,0.82,0,1.64,0,0,4.93,0,0,1.64,1.64,8.21,1.64,0,0
 36-46,0,0,2.42,0,10.47,0,0.81,1.61,0,0,0,0,0,0,0.81,0.81,12.89,0,0,44.31,0,0.81,0,0,0,3.22,0,0,0,0,8.06,1.61,0,0
 48-58,0,0.57,1.15,0,4.02,0,0,3.44,0,0,0,0,0,0,0.57,0,6.31,0,2.87,12.05,0,0.57,0.57,0,0,1.15,0,0,0,0,4.59,0.57,0,0
 60-70,0,0,5.89,0,2.94,0,0,9.82,0,0,0,0,0,0,0,0,5.89,0.98,0.98,9.82,0,0,0,0,0,2.94,0,0,0,0,2.94,0,0,0
 72-82,0,0,5.89,0,5.89,0,1.96,15.71,1.96,0,0,1.96,0.98,0,0,0,24.54,0.98,0,19.63,0,0,0,0,0,3.93,0,0,0,0,0.98,1.96,1.96,0
 84-94,0,0,3.19,0,5.31,0,0,10.62,1.06,0,0,3.19,0,1.06,0,1.06,22.3,0,0,16.99,0,0,1.06,0,0,5.31,0,0,0,0,0,3.19,0,2.12
 96-106,0,0,8.74,1.09,7.65,0,1.09,6.56,2.19,0,1.09,1.09,0,0,3.28,1.09,26.23,0,3.28,34.97,0,0,2.19,0,1.09,3.28,0,0,0,0,2.19,3.28,0,0
108-118,0,0,5.36,0.77,4.6,2.3,0.77,9.19,2.3,0,0,0.77,0,0.77,0.77,3.06,8.43,0.77,0.77,19.92,0.77,1.53,0.77,0,0,3.83,0,0,0,0,4.6,2.3,0,0
120,0,0,7.84,0,3.92,1.96,0,7.84,0,0,0,3.92,0,0,0,7.84,15.68,0,0,27.44,0,0,1.96,0,0,5.88,1.96,0,1.96,0,0,3.92,0,1.96
