stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,21.03,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,65.72,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,25.18,18.88,0,0,56.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,5,13,8,0,1,1,0,0,20,1,36,22,6,0,0,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,4.1,0,1.64,0.82,0.82,0,0,0,0,0,0,0,9.03,0.82,0,11.49,41.04,4.93,1.64,0.82,0,8.21,0,0,0,119.84,8.21,11.49,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,0.81,0,3.22,0.81,0,4.83,0,0,0,0,0,0,0,0.81,12.89,0,0,7.25,66.87,0,0,0,0,4.83,0,0,0,148.24,1.61,12.89,0,0,0,0,0.81
 48-58,0,0,0,0,2.3,0,0,26.97,2.3,1.15,2.87,4.02,0,0,0,0,0,0.57,0,22.38,1.15,2.3,8.03,96.4,2.3,0.57,0.57,0.57,3.44,0,0,0,145.17,0,17.79,0,0,0.57,0,0.57
 60-70,0,0,0,0,4.91,0,0,44.17,11.78,0.98,3.93,5.89,0,0,0.98,0,0,0.98,0,20.61,0.98,0,8.83,152.14,2.94,0.98,2.94,0.98,5.89,0,0,0.98,89.32,0,14.72,0,0,0,0,0
 72-82,0,0,0.98,0,3.93,0.98,0,70.68,15.71,0,1.96,7.85,1.96,0,2.94,0,0,0,0,26.5,0,0.98,5.89,159.03,1.96,1.96,0,0.98,0.98,0,0,0,58.9,0,15.71,0.98,1.96,0.98,0,0.98
 84-94,0,0,0,0,5.31,1.06,0,39.3,26.55,0,2.12,8.5,2.12,0,3.19,2.12,0,0,0,21.24,1.06,0,5.31,89.21,1.06,0,1.06,0,7.43,0,0,0,113.64,0,6.37,0,1.06,0,0,0
 96-106,0,0,0,0,3.28,3.28,1.09,45.9,38.25,1.09,1.09,12.02,1.09,0,4.37,0,1.09,0,2.19,14.21,2.19,0,8.74,98.36,1.09,1.09,3.28,0,5.46,0,0,0,115.84,0,4.37,0,0,0,1.09,1.09
108-118,0,0,0,0,6.13,0,3.83,18.38,31.4,0.77,1.53,2.3,0.77,0,2.3,0,0,0.77,1.53,7.66,0,0,8.43,90.38,1.53,1.53,0,0,6.89,0,0,0.77,98.04,0,3.83,0,0,1.53,0,0.77
120,0,0,0,0,3.92,0,0,23.52,21.56,0,0,9.8,1.96,0,1.96,0,0,0,0,3.92,0,0,5.88,78.39,0,0,0,0,1.96,0,1.96,0,35.28,0,3.92,0,0,1.96,0,0
