stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,liver,melanocytes,mesenchyme,neural,olfactory,periderm,pgc,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,1.64,0.82,0,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,13.13
 36-46,0,2.42,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,1.61,0,5.64
 48-58,0,0,0,0.57,0.57,0.57,0,0,1.15,0,0,0.57,7.46,0,0,0,1.15,0,6.31
 60-70,0,0.98,0,2.94,0,0,2.94,0,0,0,0.98,0,16.69,0,0,0,0.98,0,7.85
 72-82,0,2.94,0,4.91,0,0,12.76,0,0.98,1.96,0,1.96,19.63,0,1.96,0,0,0,10.8
 84-94,0,3.19,0,1.06,1.06,0,5.31,0,0,0,0,2.12,7.43,0,3.19,0,1.06,0,10.62
 96-106,0,3.28,0,1.09,2.19,0,9.84,0,2.19,1.09,0,1.09,10.93,0,1.09,0,0,0,13.11
108-118,0,3.83,0,0.77,1.53,0,6.89,0,0,0.77,0,2.3,7.66,0.77,1.53,0,0,0.77,9.19
120,0,1.96,0,0,0,0,3.92,0,0,0,0,0,3.92,0,1.96,0,0,0,1.96
