stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,mesenchyme,mucous,muscle,neural,notochord,otic,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,14,0,0,0,0,0,2,0,1,5,0,0,1,1,0,9,0
 24-34,0,0,0.82,2.46,0,0,0,0.82,0,0,0,0.82,4.1,0,0,0,0.82,0,18.88,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,1.61,0,0.81,3.22,0.81,0,0,2.42,0,9.67,0
 48-58,0,0,0,0,0,0.57,0,1.15,0.57,2.3,0,1.15,1.72,0,0,0,0.57,0,2.87,0
 60-70,0,0,0,0,0.98,0,0,0,0,2.94,0,0,4.91,0,0,0,1.96,0,2.94,0.98
 72-82,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0.98,0,0.98,0,0.98,0,4.91,0.98
 84-94,1.06,0,0,0,1.06,0,0,0,1.06,2.12,0,0,1.06,0,0,0,0,1.06,10.62,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,2.19,0,0,3.28,0,0,0,0,0,8.74,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0.77,0.77,1.53,0,0,0,0,0,3.06,0.77
120,0,0,1.96,0,0,0,1.96,0,1.96,1.96,0,0,1.96,0,0,0,0,0,1.96,0
