stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,48,0,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,79,0,1,0,0,0,0,0,2,0,1,28,0,0,0,0,0
 24-34,0,0,0,0,1.64,20.52,0,8.21,0,0,0,1.64,0,0,0.82,2.46,0,1.64,0,6.57,0,0,0.82,160.07,0.82,0,0,0.82,0,1.64,0,0,0,0.82,55,0,0,3.28,0,0.82
 36-46,0,0,0,0,0,4.03,0,13.7,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0,4.03,0,0,0,241.7,0.81,0.81,2.42,0,0,0,0,0,0,0,63.65,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,4.59,0,47.05,0,0,1.72,10.33,0,0,0,1.72,0,0,0,6.89,0,0.57,1.15,346,1.15,0,4.59,0,0,1.15,0,0,0,0,64.27,0,0,1.72,0,0
 60-70,0.98,0,0,0,0,4.91,0,144.28,2.94,0,0,7.85,0,0,0.98,3.93,0,0.98,0,10.8,0,0,1.96,572.23,0.98,0.98,7.85,0,0,0,0,0,1.96,0,90.3,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,39.27,0,212.04,0,0,5.89,12.76,17.67,0,0,9.82,0,1.96,0.98,16.69,0,0.98,4.91,557.58,0,0,15.71,0,0.98,0.98,0,0,4.91,0,47.12,6.87,0,1.96,4.91,0.98
 84-94,0,0,2.12,0,3.19,22.3,2.12,190.1,2.12,0,3.19,16.99,40.36,0,0,19.12,0,2.12,0,13.81,1.06,2.12,2.12,306.93,0,1.06,26.55,0,0,1.06,0,0,12.74,0,30.8,10.62,0,1.06,2.12,0
 96-106,0,0,2.19,0,3.28,24.04,2.19,124.58,1.09,1.09,2.19,13.11,128.96,0,0,20.76,2.19,2.19,0,12.02,0,1.09,2.19,283.05,0,1.09,37.16,0,0,4.37,1.09,0,5.46,0,18.58,9.84,0,2.19,4.37,0
108-118,0,0,0,0.77,3.06,19.92,6.13,112.6,0,0,3.06,13.02,213.7,0,0,24.51,0,2.3,0,9.96,0.77,0,1.53,310.98,0.77,0.77,27.57,0,0,1.53,0,0,3.83,0,8.43,6.89,0.77,3.06,2.3,0.77
120,0,0,0,0,1.96,19.6,0,84.27,1.96,1.96,3.92,7.84,125.43,0,0,31.36,0,1.96,0,13.72,0,0,0,237.13,0,0,31.36,0,1.96,0,0,0,1.96,0,17.64,5.88,0,5.88,1.96,0
