stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,0,73,20,0,1,0,0,0,0,5,1,45,6,1,0,0,0,0
 24-34,0,0,0,3.28,0,0,0.82,6.57,0,1.64,0,1.64,0,0,0,1.64,0.82,0.82,0,267.6,0,24.63,58.28,0,0.82,0,0,0.82,0,0.82,0,50.07,9.85,6.57,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,11.28,8.86,0,4.03,0.81,0,0,0.81,0,0.81,0.81,0,0,319.85,0,51.56,44.31,0.81,0,0,0,0.81,0,1.61,0,40.28,0,8.86,0,0,0,0
 48-58,0,0,0,2.3,0,0,14.35,13.2,1.15,9.75,1.72,0,0,0,0,0,0.57,0,0.57,402.24,0.57,104.43,60.82,0,0,0,0,0.57,0,0,0,42.46,0,8.03,0,1.15,0,0
 60-70,0,0,0,0,0,0,15.7,30.43,0,16.69,7.85,0,0,0,0,0,0,0.98,0,396.53,0.98,81.47,33.37,0,0,0.98,1.96,0.98,0,0,0,21.59,0,6.87,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,43.19,18.65,1.96,23.56,2.94,0,0,0,0,0,0.98,0,0,534.02,0.98,83.44,35.34,0,0,0,1.96,0.98,0,0.98,0,15.71,0,5.89,0.98,0.98,0.98,0
 84-94,0,0,0,3.19,1.06,0,42.48,28.68,1.06,16.99,5.31,0,1.06,0,1.06,0,1.06,1.06,0,416.32,3.19,49.92,20.18,1.06,0,0,0,0,0,0,0,24.43,0,3.19,1.06,0,0,0
 96-106,0,0,0,5.46,1.09,2.19,26.23,33.88,1.09,8.74,3.28,0,0,0,1.09,0,0,0,1.09,287.42,2.19,45.9,25.14,0,2.19,0,0,2.19,0,0,0,36.06,0,2.19,1.09,1.09,2.19,0
108-118,0,0,0.77,6.13,0,0,15.32,22.98,0,17.62,0.77,0,0,0,3.06,0,0,0.77,0,271.15,0,54.38,26.04,0.77,0.77,0,1.53,1.53,0,0,0,26.81,0,1.53,1.53,0,0.77,0.77
120,0,0,0,1.96,0,0,11.76,29.4,1.96,5.88,1.96,0,0,1.96,1.96,0,0,0,0,215.58,0,45.08,5.88,0,0,0,1.96,1.96,0,0,0,3.92,0,0,0,0,0,0
