stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,1,0,14,3,1,1,2,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,0.82,0.82,0
 36-46,0,0,0,0.81,0,0,0,1.61,0,0.81,0.81,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0.57,0,0,1.72,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,6.87,0,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,11.68,0,1.06,0,2.12,1.06,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,9.84,0,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,16.09,0,0.77,0,3.06,0.77,0,0,0,1.53,0,0,0.77,0,0
120,0,0,0,7.84,1.96,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0
