stage,axial,blastomeres,erythrocytes,eye,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,pgc,spinal.cord
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,7.89,0,0,5.26,0,0
 10-12,0,3.15,0,3.15,6.29,0,53.5,0,0,31.47,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,3.28,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,1.96,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,1.96,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.19,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0.77
