stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,10.51,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,22.03,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,56,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,7,11,5,1,1,0,0,1,3,0,2,16,0,0,3,0,1
 24-34,0,0,0,0,28.73,0,0,0,0,4.1,0.82,2.46,0,1.64,0,0,0,1.64,0,0,20.52,3.28,0,14.78,87.83,2.46,4.1,0.82,0,0,4.93,0.82,0.82,2.46,29.55,0,0,9.03,0,1.64
 36-46,0,0,0,0,8.86,0,0,8.86,0,1.61,2.42,6.45,0,0,0,0,0.81,0.81,0,1.61,41.89,0,0.81,12.89,228,1.61,4.03,0,0,0,4.83,0,0,0,70.9,0,0,1.61,0,0
 48-58,0,0,0,0,11.48,0,0,37.3,0,1.15,5.16,16.64,0,0.57,1.15,0,0.57,0.57,0,0,66.56,1.15,2.3,7.46,331.09,1.15,0.57,2.3,0,0,3.44,0,0,0,59.1,0,0,4.59,0,2.3
 60-70,0,0,0,0,15.7,0,0,73.61,0,1.96,0.98,29.45,0,0,0.98,0,0,3.93,0.98,0,86.37,0.98,0.98,6.87,437.76,0.98,0.98,0.98,0,0,5.89,0,0,0,66.74,0,1.96,4.91,0,0
 72-82,0,0,0.98,0,10.8,0,0,94.24,0.98,2.94,2.94,25.52,2.94,3.93,0,0,0.98,2.94,0,0,104.06,0.98,0,5.89,366.16,0,2.94,0.98,0,0,1.96,0,0,0,23.56,0,1.96,4.91,2.94,1.96
 84-94,0,0,0,0,27.61,0,0,45.67,0,8.5,4.25,22.3,2.12,0,5.31,1.06,0,3.19,0,1.06,84.96,1.06,2.12,4.25,168.86,3.19,3.19,2.12,0,0,12.74,0,0,0,19.12,2.12,2.12,3.19,0,1.06
 96-106,0,0,1.09,0,18.58,2.19,0,38.25,0,5.46,4.37,24.04,3.28,2.19,1.09,1.09,0,0,1.09,0,59.01,1.09,3.28,4.37,130.05,4.37,0,1.09,0,1.09,12.02,0,0,0,8.74,2.19,2.19,4.37,2.19,2.19
108-118,0,0,0,0.77,19.92,0,0.77,25.28,0,6.89,0.77,9.96,1.53,0.77,0.77,0,0.77,1.53,0.77,0,40.6,2.3,3.06,3.06,150.13,7.66,2.3,0.77,0,2.3,12.26,0,0,0,5.36,2.3,0.77,2.3,2.3,0
120,0,0,1.96,0,15.68,0,0,29.4,0,9.8,0,9.8,7.84,0,1.96,0,1.96,1.96,0,0,52.91,3.92,0,1.96,146.98,0,7.84,1.96,0,1.96,5.88,0,1.96,0,7.84,1.96,0,3.92,0,0
