stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,2,55,37,2,0,0,0,0
 24-34,0,0,0,0.82,0,0,1.64,21.34,0,0,0,0,0,0.82,0,1.64,1.64,0,4.1,0,0,13.95,32.01,0,0,2.46,0,0,0.82,0,48.43,55,6.57,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,37.87,0,0.81,0.81,0,0,0,0,0.81,0,0,1.61,0,0,4.03,21.75,2.42,0,1.61,0,0,0,0,19.34,6.45,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,7.46,32.13,0,0,2.87,0,1.15,0,0,0.57,0,0.57,2.87,0,0,2.3,35,0.57,0,5.74,0,0,1.15,0,22.95,0,5.74,0,0,0,0.57
 60-70,0,0,0,0,0,0,8.83,27.48,0,0,1.96,0,0,0,0,4.91,0,0,3.93,0,0,3.93,14.72,0,0,13.74,0,0,2.94,0,17.67,0,1.96,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,0,8.83,25.52,0,0,2.94,0.98,0,0,0,15.71,0,0,1.96,0,0,1.96,12.76,0,0,19.63,0,0,0,0,20.61,0,0,0.98,0.98,0,0.98
 84-94,0,0,0,1.06,2.12,1.06,8.5,30.8,0,0,1.06,1.06,1.06,1.06,1.06,12.74,1.06,1.06,4.25,0,1.06,6.37,9.56,0,0,32.92,0,1.06,0,0,39.3,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,0,13.11,65.57,0,0,6.56,1.09,0,3.28,0,17.49,1.09,0,7.65,0,0,8.74,17.49,0,1.09,36.06,0,0,4.37,0,41.53,0,1.09,0,1.09,1.09,0
108-118,0,0,0,0.77,2.3,0,7.66,78.13,1.53,0,3.06,1.53,0,1.53,0.77,18.38,0.77,0,1.53,0,0.77,10.72,12.26,0,0,29.11,0,0.77,3.83,0,36.77,0,0,0,1.53,1.53,0
120,0,0,0,0,0,0,3.92,52.91,0,0,1.96,1.96,0,1.96,0,17.64,0,0,5.88,1.96,0,3.92,5.88,0,0,27.44,0,0,1.96,1.96,5.88,0,0,0,1.96,0,0
