stage,blastomeres,erythrocytes,eye,glial,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,0,0,0,0,0,0.82,0,0,4.93,0,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,2.42,0,1.61,8.06,0,0,0,0,3.22
 48-58,0,0,1.15,0,0,0,3.44,0,0.57,14.92,0.57,0,0,0,2.87
 60-70,0,0.98,0.98,0,0.98,0,1.96,0,0,8.83,0,0,0,0.98,0.98
 72-82,0,0,12.76,0,0.98,0.98,0.98,0,0,45.16,0,0,0,0,4.91
 84-94,0,0,6.37,0,1.06,0,2.12,0,0,11.68,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,2.19,0,2.19,8.74,0,1.09,0,1.09,0
108-118,0,0,1.53,0.77,2.3,0,0.77,0.77,0.77,13.02,1.53,0,1.53,0.77,0
120,0,0,0,3.92,0,0,0,1.96,0,29.4,1.96,0,0,0,0
