stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,8.21,0,0,0,0.82,0,0,3.28,0,0
 36-46,0,0,0,0,4.03,0,0,0,0,0,0,0,0.81,0,0,0,7.25,0,0,0,1.61,0,1.61,0.81,0.81,0
 48-58,0,0,1.15,0,2.3,0.57,0.57,1.72,0,0,0,0.57,1.72,0.57,0.57,0.57,5.74,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0.98,0,0,0,0.98,2.94,0,0,0.98,7.85,0.98,0,0,0.98,0,0,1.96,0,0
 84-94,0,0,2.12,0,2.12,0,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,2.19,0,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0,1.53,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,5.88,0,1.96,0,0,0,0,0,0,0
