stage,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,iridophores,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,5,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,19.7,0,0,4.93,0,0
 36-46,0,0,0,0,0,0,0,0,60.43,0,0,7.25,0,0
 48-58,0,0,5.16,0,0,0,0,0,90.09,0,0,14.35,0,0
 60-70,0,0,21.59,0,0,0,0.98,0,194.34,0,0,19.63,0,0
 72-82,0,0,28.47,0.98,0.98,0.98,4.91,0,206.15,0,0,12.76,0,0
 84-94,1.06,1.06,21.24,0,3.19,0,3.19,0,104.08,0,0,7.43,1.06,0
 96-106,0,2.19,17.49,0,4.37,0,2.19,0,90.71,1.09,0,1.09,0,1.09
108-118,0.77,0.77,21.45,0,1.53,0,0,0.77,61.28,0,0,4.6,0,0
120,0,0,7.84,0,0,0,0,0,64.67,0,3.92,0,0,0
