stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0,3.28,3.28,0,0,6.57,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,1.61,0.81,0,0,4.03,3.22,0,0,6.45,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0.57,0,0.57,0,0.57,0,1.72,0,0.57,1.15,0.57,0.57,1.72,0,2.87,7.46,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,8.83,0,0,0,0,0.98,0.98,0,5.89,14.72,1.96,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,1.96,0,0,1.96,0,0,0,27.49,0,1.96,0,0,0.98,0,0.98,5.89,39.27,5.89,0,0,0,0,0,0.98,3.93,0,0,0
 84-94,0,0,1.06,0,3.19,0,2.12,0,0,0,4.25,0,0,25.49,0,5.31,0,0,3.19,1.06,0,7.43,25.49,6.37,0,2.12,0,0,0,1.06,13.81,0,1.06,0
 96-106,0,0,1.09,0,12.02,0,2.19,0,0,3.28,32.79,0,1.09,67.76,1.09,3.28,0,0,1.09,1.09,0,10.93,68.85,9.84,0,0,0,0,1.09,0,15.3,1.09,1.09,0
108-118,0,0,0,0.77,12.26,0.77,0.77,0,0,0.77,121.79,0,0,48.26,0.77,6.13,0.77,0,0.77,1.53,1.53,8.43,42.13,9.96,0,3.06,0,0,0,0,20.68,0,2.3,0
120,0,0,1.96,0,5.88,0,1.96,0,0,7.84,101.91,0,1.96,21.56,0,7.84,3.92,0,1.96,0,0,13.72,37.24,11.76,0,0,0,1.96,0,0,9.8,0,0,1.96
