stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0
  5-6,55.17,294.22,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,4,7,7,0,0,0,1,0,1,1,0,8,0,0,0,0,7,2,0,0,1,39,25,1,0,0,0,0,0,7,24,0,0,4,0,0
 24-34,0,0,0.82,0.82,9.85,0.82,0,3.28,0,4.1,1.64,0.82,0,0,4.93,0.82,2.46,0,0.82,6.57,5.75,0.82,0,4.93,189.62,2.46,7.39,0.82,0,0,8.21,0,4.93,54.18,0,0,36.12,0,0.82
 36-46,0,0,0.81,0,7.25,0,0,8.86,0,0.81,0.81,3.22,0.81,0,8.86,0,0,0.81,0.81,0.81,11.28,0,0,2.42,319.05,2.42,11.28,1.61,0,0,8.06,0,0.81,85.4,0,0,26.59,0,0
 48-58,0,0,0,0,14.92,0,0,41.31,0,2.3,1.72,18.36,0,1.15,2.3,0,0.57,0.57,1.15,0.57,19.51,4.02,0.57,1.15,308.13,1.15,4.59,3.44,0,0,17.79,0,1.15,96.4,0,0.57,15.49,0,0
 60-70,0,0,0,0,19.63,0,0,52.02,0,3.93,1.96,17.67,0.98,1.96,0.98,2.94,0,2.94,0,0,34.35,1.96,0,0.98,196.3,6.87,7.85,1.96,0,0,25.52,0,1.96,46.13,1.96,0,8.83,0,0
 72-82,0,0,1.96,0,32.39,5.89,0,48.1,0.98,8.83,1.96,28.47,0.98,1.96,12.76,1.96,2.94,2.94,0,0.98,50.06,5.89,1.96,2.94,239.53,0,9.82,8.83,0,0.98,66.75,0,0,27.49,0,1.96,35.34,1.96,0
 84-94,0,0,2.12,2.12,60.54,9.56,0,33.99,0,12.74,0,15.93,3.19,0,5.31,6.37,2.12,4.25,1.06,1.06,24.43,7.43,3.19,2.12,106.2,0,4.25,3.19,0,4.25,158.24,0,1.06,21.24,0,1.06,25.49,3.19,1.06
 96-106,0,0,1.09,2.19,61.2,13.11,1.09,25.14,0,15.3,1.09,15.3,4.37,0,8.74,7.65,1.09,3.28,4.37,2.19,29.51,5.46,6.56,0,83.06,1.09,7.65,4.37,0,5.46,158.46,0,0,10.93,2.19,1.09,33.88,0,0
108-118,0,0,0,1.53,36.77,6.13,0.77,13.02,0,18.38,3.06,13.02,7.66,0,1.53,7.66,3.83,7.66,0.77,4.6,17.62,5.36,2.3,0.77,74.3,1.53,9.19,1.53,0,3.06,103.41,0,3.06,3.06,3.06,2.3,22.21,3.83,2.3
120,0,0,1.96,3.92,29.4,1.96,0,13.72,0,13.72,1.96,13.72,7.84,0,1.96,9.8,1.96,3.92,0,1.96,17.64,1.96,0,0,92.11,0,11.76,5.88,0,0,80.35,0,0,3.92,3.92,0,17.64,0,0
