stage,axial,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature
 14-21,0,0,7,3,3,0,2,2,0,0,0,0,1,1,21,0,0,0,0,0,6,0,3,10,0
 24-34,0,0,1.64,0,2.46,0,0,0,0,0,0,0,4.93,1.64,23.8,0,0,0.82,0,2.46,0,0,1.64,2.46,0.82
 36-46,0,0,0.81,0,1.61,0,3.22,0,0,0,0,0,3.22,0,20.95,0,0,0,0,0.81,0,0,0,1.61,0.81
 48-58,0,0,0.57,0,1.72,0,3.44,0,0,0,0,0,2.3,0,12.62,0.57,0,0,0,1.15,0,0.57,0,3.44,0.57
 60-70,0.98,0,1.96,0,0.98,0,4.91,0,0,0,0,0,6.87,0.98,6.87,0,0,0,0,0.98,0,0,0,2.94,0.98
 72-82,0,0,1.96,0,2.94,0,1.96,0,0.98,0,0,0,7.85,0.98,4.91,0,0.98,0,0,0,0,0,0,0.98,0
 84-94,0,1.06,1.06,0,1.06,0,3.19,0,0,0,0,1.06,4.25,1.06,4.25,0,0,1.06,0,3.19,0,0,0,1.06,2.12
 96-106,0,0,2.19,0,4.37,0,2.19,0,0,0,1.09,0,4.37,0,6.56,0,0,0,0,1.09,0,0,0,1.09,1.09
108-118,0,0,1.53,0,1.53,0,2.3,0,0,0,0.77,0,2.3,0,4.6,0,0,0,0.77,0,0,0,0,1.53,0.77
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,3.92,0,3.92,0,0,0,0,0,0,0,0,0,1.96
