stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,5,0,1,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,2.46,0,2.46,17.24,0,0,6.57,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0.81,0,0,0,0,0.81,1.61,0,0,20.95,0,1.61,0.81,0,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0.57,1.72,0,0.57,0,2.3,0,1.15,0,0,18.94,0,0.57,7.46,0,0,0,0,0,0,3.44,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,0,0.98,0,0,0,7.85,0,1.96,0,0,14.72,0,0,16.69,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,0.98,0,7.85,0,0,0,3.93,0,0,0,19.63,0,4.91,0,0,12.76,0,0.98,43.19,0,0.98,0,0,0,0,2.94,0.98,0.98,0,0
 84-94,0,0,0,0,5.31,0,0,0,3.19,0,0,0,29.74,0,5.31,0,0,12.74,0,0,69.03,0,0,0,0,2.12,0,1.06,0,1.06,0,0
 96-106,0,0,3.28,0,6.56,0,1.09,0,2.19,0,0,3.28,38.25,1.09,1.09,0,1.09,6.56,0,0,77.59,0,0,0,0,0,0,1.09,0,0,1.09,0
108-118,0,0,0.77,0.77,3.83,0.77,0,0,0.77,0.77,0,0,29.11,0,8.43,0,1.53,16.09,0,0,50.55,0,0.77,0.77,0,0,0,0,0,0,0.77,0.77
120,0,0,1.96,0,5.88,0,0,0,1.96,1.96,0,0,29.4,0,11.76,1.96,0,11.76,0,0,64.67,0,0,0,0,0,0,0,0,0,0,0
