stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,1,3,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,13.95,0.82,0,0,0,0,0.82,11.49,0.82
 36-46,0,0,0,0.81,0,0,1.61,0,3.22,0,0.81,17.72,0,0,0,0,0,0,22.56,0
 48-58,0,0,0,0,0,0,1.72,0.57,2.3,0.57,0.57,29.26,0,0,0,0,0,0,29.26,0
 60-70,0,0,0,0,0,0,8.83,6.87,1.96,0,0,27.48,0,0.98,0.98,0,0,0,84.41,0
 72-82,0,0,0,0.98,0,0,16.69,2.94,0.98,0,1.96,47.12,0,0,0,0,0,0,58.9,0
 84-94,0,0,0,1.06,0,0,8.5,1.06,0,0,0,14.87,1.06,0,0,0,0,0,29.74,0
 96-106,0,0,0,1.09,1.09,0,13.11,1.09,2.19,0,0,21.86,0,0,0,0,0,0,19.67,0
108-118,0,0,0,0.77,0,0.77,2.3,2.3,0.77,0,0,15.32,0.77,0,0,0,0,0,9.19,0
120,1.96,0,0,0,0,0,7.84,1.96,1.96,0,0,11.76,0,0,0,0,0,0,23.52,0
