stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,10.51,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,44.06,0,37.76,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,6,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,33,0,0,21,30,4,1,0,0,0,0,25,18,24,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0.82,3.28,0,0,0,3.28,0,0,0,0,0,0.82,105.07,0,0,26.27,45.15,2.46,0,0,0,0.82,0,1.64,3.28,41.86,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,2.42,0,0,4.03,2.42,0,0,1.61,0.81,0,0.81,0,0,2.42,162.75,0,3.22,20.95,90.23,0,0,0,0,1.61,0,2.42,0,44.31,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,13.77,0,0,9.75,2.87,0,0,4.59,0,0,0.57,0.57,0.57,4.59,220.91,0.57,6.31,20.08,63.12,1.72,0,0,0.57,0,0,2.87,0,31.56,0,1.72,1.15,0,5.74
 60-70,0,0,0,0,4.91,0,0,12.76,2.94,0,10.8,6.87,0,0,0.98,0,0,4.91,0,0,2.94,307.22,0,14.72,26.5,43.19,0,0,0,1.96,0,0,0.98,0,17.67,0,4.91,0,3.93,4.91
 72-82,0,0,0,0,4.91,0,0,41.23,2.94,0,15.71,4.91,0.98,0,1.96,0,0,5.89,0,0,1.96,438.8,0,24.54,25.52,44.17,1.96,0.98,0,1.96,0,0,0.98,0,10.8,0,15.71,0,13.74,5.89
 84-94,0,0,0,0,5.31,0,0,44.61,3.19,2.12,7.43,6.37,0,0,3.19,2.12,0,3.19,0,0,5.31,251.7,0,21.24,21.24,23.36,1.06,0,0,2.12,0,0,1.06,0,8.5,0,15.93,1.06,11.68,4.25
 96-106,0,0,1.09,0,2.19,1.09,1.09,22.95,1.09,0,4.37,5.46,0,0,1.09,1.09,0,1.09,1.09,0,1.09,221.85,0,10.93,10.93,25.14,1.09,0,0,3.28,3.28,0,0,0,2.19,1.09,17.49,1.09,20.76,6.56
108-118,0,0,0,0,2.3,0,0,16.85,3.83,0,9.19,8.43,0,0,0,0.77,0.77,6.13,0,0.77,3.83,186.89,0,8.43,10.72,32.17,0,0,0,4.6,0,0.77,1.53,0,0,0,8.43,0,7.66,9.19
120,0,0,0,0,1.96,0,0,11.76,1.96,1.96,9.8,7.84,0,0,3.92,1.96,1.96,0,0,1.96,1.96,180.3,0,13.72,3.92,39.2,0,0,0,0,0,0,0,0,3.92,0,15.68,0,11.76,1.96
