stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,25.18,0,0,78.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,359,0,0,0,0,0,7,1,0,0,0,0,0,0,3,0,0,0,6,41,1,0,21,8,64,48,4,48,11,0,1,0,1
 24-34,0,0,0.82,31.19,0,0.82,0,0,0.82,4.93,0,0,0.82,0,0.82,0,0,0.82,0,0,0,11.49,1.64,0,0,0,0,0,100.14,0,0,2.46,0,2.46,0,1.64
 36-46,0,0,0,0,0,1.61,0,0,0,2.42,0,0,2.42,0.81,0,0,12.09,0.81,0,0,0,5.64,0,0,0,0,0.81,0,66.06,0,0,0.81,0,0,0,2.42
 48-58,0,0,0,0,1.15,4.02,0,0,0,1.72,0,0,7.46,0,0.57,0.57,5.74,2.87,0,0,0,12.62,0,0,0,0,0,0,48.2,0,0,0,0,1.72,0,8.61
 60-70,0,0,0,0,0,3.93,0,0.98,3.93,5.89,0,0,8.83,3.93,1.96,0.98,5.89,6.87,0,0,0,22.58,0,0,0.98,0,0,0,58.89,0,0,4.91,0,6.87,0,9.82
 72-82,0,1.96,0,1.96,0,12.76,0.98,0,16.69,38.28,0,0.98,18.65,5.89,0.98,0,2.94,22.58,0,0,0,38.28,0,0.98,0,0,4.91,0,94.24,0.98,0,2.94,0.98,23.56,0,22.58
 84-94,0,0,1.06,3.19,1.06,10.62,0,0,20.18,92.4,0,0,25.49,3.19,2.12,3.19,11.68,22.3,0,0,0,19.12,1.06,0,1.06,0,1.06,0,215.59,2.12,0,1.06,0,23.36,0,31.86
 96-106,0,2.19,0,2.19,3.28,13.11,1.09,1.09,31.69,100.54,0,0,51.36,0,2.19,1.09,5.46,18.58,1.09,2.19,2.19,38.25,0,1.09,0,0,9.84,0,204.36,5.46,0,1.09,4.37,26.23,2.19,13.11
108-118,0,0,1.53,0,2.3,7.66,0.77,0,42.13,104.17,0,0,52.09,2.3,0.77,2.3,9.96,13.79,0.77,0.77,0,22.98,0,0.77,0,0,37.53,0,189.96,4.6,0,0,3.06,16.85,0,37.53
120,0,0,1.96,1.96,0,7.84,0,0,52.91,76.43,0,0,41.16,3.92,0,0,0,5.88,0,0,0,17.64,1.96,0,0,0,17.64,0,121.51,0,0,0,1.96,21.56,0,5.88
