stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,14,5,5,0,0,0,1,0,0,0,0,0,0,0,6,0,0,3,42,1,0,0,1,0,0,4,0,2,9,23,0,0,2,0,0
 24-34,0,0.82,3.28,0,9.03,16.42,0.82,0,4.1,0,0,0,0,0,0,0,15.6,0,0.82,18.88,101.79,0.82,1.64,0.82,0,0,0.82,0.82,0,6.57,3.28,19.7,0,0,2.46,0,0
 36-46,0,0,3.22,0,12.89,30.62,0.81,1.61,4.03,0,0,1.61,0,0,0,0,7.25,0,0,8.06,52.37,0,0,1.61,0,0,0,0,0.81,13.7,1.61,12.09,0,0,2.42,0,0
 48-58,0,0,1.15,0,29.26,34.43,0.57,1.15,5.74,0,0,0,0,0.57,0,1.15,16.64,0,0.57,4.02,68.28,0,0,0.57,0,0,0,0,0,19.51,0,12.05,0,0.57,1.15,0,0
 60-70,0.98,0,1.96,0,24.54,39.26,0.98,2.94,5.89,0,0,0,0.98,0.98,0,0,9.82,0,0.98,3.93,47.11,0.98,0,0,0,0.98,0,0,0,20.61,0,11.78,0,0,0.98,0,0
 72-82,0,0,0.98,0,22.58,22.58,0,3.93,13.74,0,0.98,0.98,0,0.98,0,0,12.76,0.98,0,2.94,42.21,0,0,1.96,0,0,0.98,0,0,9.82,0,3.93,0,0.98,1.96,0,0
 84-94,0,0,1.06,2.12,24.43,19.12,0,5.31,7.43,1.06,0,0,0,1.06,0,0,20.18,0,0,8.5,23.36,0,0,0,0,0,1.06,0,1.06,7.43,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,6.56,2.19,10.93,28.41,0,2.19,8.74,2.19,0,0,0,1.09,0,0,20.76,0,1.09,5.46,24.04,0,0,2.19,1.09,0,3.28,0,2.19,14.21,0,0,1.09,1.09,2.19,0,2.19
108-118,0,0,2.3,0.77,16.09,19.92,0,1.53,5.36,2.3,0,0,0,0,1.53,0,6.89,0,0.77,7.66,24.51,0,0,2.3,0,0,1.53,0,0.77,1.53,0,1.53,0,0.77,1.53,0,0
120,0,0,3.92,0,9.8,7.84,0,1.96,1.96,0,0,0,0,0,0,0,5.88,0,0,5.88,11.76,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
