stage,eye,glial,lateral_line,mesenchyme,neural,olfactory,otic,pericytes,pronephros,somites,spinal_cord,vasculature
 14-21,0,0,0,0,9,0,0,0,0,1,0,0
 24-34,0,0,0,0,12.31,0,3.28,0,0.82,0.82,0.82,0.82
 36-46,0.81,0.81,0,0,4.83,0,2.42,0,0,0,0,0.81
 48-58,0.57,0,1.72,0,3.44,0,4.02,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,6.87,0.98,0,0,1.96,0
 72-82,0.98,0.98,3.93,0,1.96,0,17.67,0,0.98,0,0,0
 84-94,0,1.06,1.06,1.06,4.25,1.06,18.05,0,0,0,0,0
 96-106,0,0,4.37,0,1.09,0,18.58,0,0,0,0,0
108-118,0,0,3.83,1.53,2.3,0,16.85,0,0,0,0,0
120,0,0,5.88,1.96,1.96,1.96,19.6,0,0,0,0,0
