stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,15.77,10.51,10.51,0,0,65.72,0,0,15.77,0,0,0,0,0,354.88,21.03,144.58,2.63,2.63,0,2.63,0,0
 10-12,0,18.88,12.59,0,0,37.76,0,0,28.32,0,0,0,0,0,349.31,12.59,132.17,0,0,3.15,9.44,3.15,3.15
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,0,0,1.96,1.96,0,1.96,0,0,1.96,0,0,0,0,0,0,0
