stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,0,0,0,0,18.4,7.89,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,12.59,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,3,0,1,0,0
 24-34,0,0,3.28,0.82,0,0,0,0,0.82,14.78,0,4.1,0,0
 36-46,0,0,0,0.81,1.61,4.03,0,0,0,5.64,0,2.42,0,0
 48-58,0,0,1.15,0.57,0,2.3,0,0,0.57,5.74,0,0,0,0
 60-70,0,0,4.91,0,0,1.96,0,0,0,3.93,0,0.98,0,0
 72-82,0,0,1.96,0,0,2.94,0.98,0,0,3.93,0,0,0,0.98
 84-94,0,0,1.06,1.06,0,0,0,2.12,0,6.37,0,1.06,0,0
 96-106,0,0,0,0,0,3.28,0,0,0,4.37,0,1.09,1.09,1.09
108-118,0,0.77,0.77,0,0.77,0.77,0,0,0,5.36,0,0.77,0.77,0.77
120,0,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
