stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,6,10,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,21,0,2,0,0,0,21,0,0,0,0,0,0,0,33,6,2,8,0,0,2,0,0
 24-34,7.39,9.03,0.82,0.82,0,5.75,0,0,0,0.82,9.03,0,0,0,2.46,0,0,46.79,0,1.64,0,0,1.64,46.79,0.82,0,0,0,0,0.82,0,91.94,4.93,0.82,13.95,0,0,1.64,0,0
 36-46,0.81,2.42,0,0,0,10.47,0,0,0.81,1.61,23.36,0,0,0,0.81,0,0,45.12,0,2.42,0,0,0.81,40.28,0.81,0,0,0,0,0,0,66.06,8.06,0,6.45,0,0,0,0,0.81
 48-58,1.15,0,0,0.57,0,11.48,0,0,0,2.3,21.8,0,0,0,0,0,0,53.36,0,1.72,0,0,0.57,28.12,0.57,0.57,0,0,0,0.57,0,43.04,0,0,2.3,0,0,0.57,0,0
 60-70,0.98,0,0,0.98,4.91,20.61,0,0,0,3.93,26.5,0,0,0,0,1.96,0,84.41,0,2.94,0,0,0.98,37.3,0.98,0,0,0,0,0.98,0,46.13,0,0,6.87,0,0,0,0,0
 72-82,4.91,1.96,0.98,2.94,50.06,49.08,0,1.96,0.98,10.8,68.72,0,1.96,3.93,0,0.98,1.96,195.35,0,23.56,0,0,4.91,131.54,0.98,3.93,2.94,0,0,5.89,0,84.42,0,0,2.94,0.98,0.98,8.83,0,2.94
 84-94,2.12,5.31,6.37,6.37,118.95,38.23,0,1.06,2.12,3.19,105.14,0,0,3.19,3.19,2.12,1.06,545.89,0,23.36,0,1.06,5.31,98.77,2.12,0,2.12,0,0,10.62,0,169.93,0,0,5.31,0,0,5.31,0,2.12
 96-106,2.19,7.65,36.06,24.04,163.93,104.91,2.19,6.56,6.56,40.44,109.28,0,0,12.02,4.37,2.19,6.56,832.75,0,84.15,3.28,3.28,8.74,320.2,3.28,8.74,12.02,0,2.19,61.2,1.09,169.39,1.09,0,4.37,3.28,1.09,18.58,4.37,5.46
108-118,2.3,7.66,30.64,12.26,217.53,82.72,2.3,9.19,5.36,31.4,79.66,0,0,5.36,0.77,2.3,1.53,1579.42,0.77,78.13,0.77,3.06,16.09,281.11,1.53,2.3,7.66,0,4.6,34.47,0,153.96,0,0,4.6,1.53,3.06,9.96,3.83,6.13
120,1.96,1.96,21.56,11.76,92.11,48.99,1.96,1.96,1.96,13.72,37.24,0,1.96,1.96,3.92,0,1.96,870.14,0,41.16,0,0,9.8,203.82,5.88,1.96,3.92,0,0,21.56,0,109.75,3.92,0,7.84,0,0,5.88,3.92,1.96
