stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,mesenchyme,muscle,neural,olfactory,slow.muscle,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,4.93,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0.81,0,3.22,0.81,0,0.81
 48-58,0,0.57,0,2.3,0.57,0.57,0,2.3,0,5.74,0,0.57,0.57
 60-70,0,0,0,0.98,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,2.94,0,0.98,0.98,3.93,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,2.12,0,3.19,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,0,0,0,0,2.3,0,0,0
120,0,0,0,3.92,0,0,0,0,0,1.96,0,0,0
