stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,20,0,0,0,0,0,1,0,7,0,0,0,0,0
 24-34,0,0,2.46,0.82,7.39,0,0,0,1.64,1.64,0.82,0,0,0,0.82,0,0,0.82,68.13,0,0.82,0,0,0.82,0,0,22.16,0,0,6.57,0,2.46
 36-46,0,0,0.81,0.81,7.25,0,0,0,0,0,0,0.81,0,0,1.61,1.61,0,0.81,146.63,0.81,1.61,0,0,0,0,0,26.59,0,0,4.83,0,0.81
 48-58,0,0,0,0,21.23,0,0.57,0,5.16,0,0,1.72,0,0,0.57,4.02,0.57,1.72,235.26,0,2.3,0,0,0,0,0,29.84,0,0,0,0,1.15
 60-70,0,0,0.98,0,64.78,0,0.98,0,18.65,0,0,0,0.98,0,1.96,1.96,0,0,362.18,0,0,0,0,0.98,0,0,22.58,0,0,3.93,0,0.98
 72-82,0,0,0,4.91,112.89,0,0,0,17.67,0.98,1.96,2.94,0,0,4.91,10.8,0,0,380.88,0,7.85,1.96,0,0.98,0,0,15.71,0,0,6.87,0.98,0.98
 84-94,0,0,2.12,3.19,70.09,0,0,1.06,9.56,1.06,1.06,4.25,0,0,3.19,10.62,0,0,202.85,0,0,2.12,0,1.06,0,0,7.43,0,1.06,5.31,0,1.06
 96-106,0,0,1.09,5.46,81.96,0,0,0,13.11,1.09,0,2.19,0,0,2.19,10.93,0,1.09,184.69,0,5.46,0,0,0,0,0,9.84,1.09,0,4.37,0,0
108-118,0,0,0,5.36,79.66,0,0,0.77,16.85,0,1.53,3.06,0,1.53,0.77,5.36,0,2.3,265.02,0,3.06,1.53,0,2.3,0,0.77,3.83,0.77,0.77,1.53,0,0
120,0,0,3.92,0,78.39,1.96,0,1.96,29.4,1.96,0,0,0,0,0,3.92,0,0,301.81,0,3.92,1.96,0,0,0,0,3.92,0,0,1.96,0,0
